SA2;KLD
Coburg;8.13767460112706e-05
Coburg North;4.89742749551744e-05
Collingwood;4.4432698665744e-06
Craigieburn - Mickleham;3.00246373221347e-05
Cranbourne;0.000103288156351408
Cranbourne East;4.40829047961322e-05
Cranbourne North;3.39066134811249e-06
Cranbourne South;7.56234274219333e-05
Cranbourne West;2.45787391573361e-05
Croydon;0.000195092852409924
Croydon Hills - Warranwood;0.000168635253820086
Dandenong;1.60463358683906e-06
Dandenong North;4.95353582817464e-05
Deer Park - Derrimut;2.79413594940754e-05
Delahey;0.000166804272073694
Dingley Village;0.000118711296204346
Docklands;1.53199004947344e-05
Doncaster;0.00011396385854797
Doncaster East;0.000101774916147
Donvale - Park Orchards;0.000167514612650326
Doveton;7.1227118533899e-05
Dromana;0.000258572008531526
East Melbourne;1.62007578395901e-05
Edithvale - Aspendale;0.000144871353955511
Elsternwick;8.7493361727843e-05
Eltham;0.000254298935302695
Elwood;8.89796374937899e-05
Emerald - Cockatoo;0.000208333457465346
Endeavour Hills;0.000185036877224374
Epping;7.77085889969458e-05
Essendon - Aberfeldie;0.000133615954078248
Fawkner;1.63325611142396e-05
Ferntree Gully;0.000136084478377749
Fitzroy;3.58565612055276e-07
Fitzroy North;6.15712625064156e-07
Flemington;2.44031747696747e-05
Flemington Racecourse;0.0043159997202809
Flinders;0.00025227973479646
Footscray;9.2683492796609e-06
Forest Hill;7.30931137737298e-06
Frankston;0.000130758212116435
Frankston North;0.000215279710037452
Frankston South;0.000182224076140593
Gisborne;0.000278564194492604
Gladstone Park - Westmeadows;0.000141162624385458
Glen Iris - East;0.000106240457843903
Glen Waverley - East;3.50649189712121e-05
Glen Waverley - West;4.54876469724428e-05
Glenroy - Hadfield;7.73766582601546e-05
Greensborough;0.000117933488504551
Greenvale - Bulla;3.85423362578223e-05
Hallam;7.1689404887423e-06
Hampton;0.000141774506245055
Hampton Park - Lynbrook;2.96114459479768e-05
Hastings - Somers;0.000220128768552503
Hawthorn;0.000104071143775872
Hawthorn East;0.00010305510460987
Healesville - Yarra Glen;0.000296752872546225
Heidelberg - Rosanna;0.000132522233723505
Heidelberg West;0.000112843703161533
Hillside;1.7844579524272e-05
Hoppers Crossing - North;9.57238788101114e-05
Hoppers Crossing - South;6.89015088320387e-05
Hughesdale;0.000108558047250911
Hurstbridge;0.000414748061578041
Ivanhoe;3.17046096078097e-05
Ivanhoe East - Eaglemont;0.000157919634617535
Keilor;0.000141680861325639
Keilor Downs;9.08696648138444e-05
Keilor East;7.27310721352853e-05
Kensington;9.2834987380187e-05
Kew;0.000168735189788943
Kew East;9.82632002229238e-05
Keysborough;2.20378642548892e-06
Kilsyth;9.05960089625478e-05
Kinglake;0.000634913182026348
Kings Park (Vic.);2.46523217191045e-05
Kingsbury;4.38337925384046e-06
Knoxfield - Scoresby;5.86185908030543e-05
Koo Wee Rup;2.12148626839899e-05
Lalor;2.38021474284462e-05
Langwarrin;0.00015437186000211
Laverton;3.33845375354762e-05
Lilydale - Coldstream;0.000182318378068543
Lynbrook - Lyndhurst;1.94096826678701e-05
Lysterfield;4.96092966338235e-05
Macedon;0.00110366760609412
Malvern - Glen Iris;0.00015046105822943
Malvern East;0.000198356665013492
Maribyrnong;2.33495359743688e-05
Meadow Heights;1.9295028556571e-05
Melbourne;2.83412307750728e-06
Melbourne Airport;0.600624385999645
Melton;0.000111104987656128
Melton South;0.000211794179080655
Melton West;8.13424350997005e-05
Mentone;3.25891138986729e-05
Mill Park - North;9.40880925136923e-05
Mill Park - South;9.03151620925409e-05
Mitcham (Vic.);6.43541697599267e-05
Monbulk - Silvan;0.000743070138396216
Montmorency - Briar Hill;0.000230179726496965
Montrose;0.000228467887633784
Moonee Ponds;0.000112549400978837
Moorabbin - Heatherton;0.000152439686190774
Mooroolbark;0.000183157194187112
Mordialloc - Parkdale;8.54019246051641e-05
Mornington;0.000205421869947463
Mount Dandenong - Olinda;0.000222480946290833
Mount Eliza;0.000157915200034336
Mount Evelyn;0.000281412433524162
Mount Martha;0.000176189626846417
Mount Waverley - North;7.51046676166522e-05
Mount Waverley - South;7.3903208869934e-05
Mulgrave;0.000132591268214183
Murrumbeena;2.00617151728561e-05
Narre Warren;3.61173166643363e-05
Narre Warren North;2.15300123419559e-05
Narre Warren South;1.4327169394846e-05
Newport;0.000112887592475585
Niddrie - Essendon West;6.59280965681042e-06
Noble Park;1.14090460328387e-05
Noble Park North;1.23654669857936e-05
North Melbourne;3.31793661075893e-06
Northcote;7.24429618289172e-05
Nunawading;7.77130534209135e-05
Oakleigh - Huntingdale;2.64585880981752e-05
Ormond - Glen Huntly;4.34561949601051e-05
Pakenham - North;9.12496546142552e-05
Pakenham - South;4.53308740994777e-05
Panton Hill - St Andrews;0.000682976352613867
Parkville;0.000109819535026292
Pascoe Vale;3.01391192485504e-05
Pascoe Vale South;0.000164278266809961
Pearcedale - Tooradin;0.00014805954227523
Plenty - Yarrambat;4.50860097969061e-05
Point Cook;3.10960328807236e-05
Point Nepean;0.000140866871238283
Port Melbourne;0.000114195125601163
Port Melbourne Industrial;nan
Prahran - Windsor;7.32093346967491e-05
Preston;0.00015448845101134
Research - North Warrandyte;0.000108039341363767
Reservoir - East;1.94726190189859e-05
Reservoir - West;1.75066113344405e-05
Richmond (Vic.);3.49331868722116e-05
Riddells Creek;0.000311430230032517
Ringwood;5.19094911499133e-05
Ringwood East;3.64581605314135e-05
Ringwood North;0.000314304045503064
Rockbank - Mount Cottrell;0.000129735967025764
Romsey;3.52884587739497e-05
Rosebud - McCrae;0.000160507312716646
Rowville - Central;0.000186393870773411
Rowville - North;4.93406056988377e-05
Rowville - South;6.61668465372804e-05
Roxburgh Park - Somerton;8.62661106075609e-05
Sandringham - Black Rock;0.000240851449594288
Seabrook;2.8937111830769e-05
Seaford (Vic.);8.65085458093235e-05
Seddon - Kingsville;4.49826007153678e-06
Skye - Sandhurst;0.000133277831550929
Somerville;0.000208622705966153
South Melbourne;0.000149343559195058
South Morang;6.53804716295675e-05
South Yarra - East;0.000161172372983367
South Yarra - West;0.000102744638690783
Southbank;4.42340669263667e-06
Springvale;1.89039416799141e-05
Springvale South;2.95651141842558e-05
St Albans - North;2.4311386829129e-05
St Albans - South;5.71563690626456e-05
St Kilda;8.28909165122258e-05
St Kilda East;5.09516949305486e-05
Strathmore;0.000147739577865644
Sunbury;0.000102919145618545
Sunbury - South;0.000114709479914138
Sunshine;5.60318388776902e-05
Sunshine North;2.92488677279238e-06
Sunshine West;7.57101066044272e-05
Surrey Hills (East) - Mont Albert;5.3881263371666e-05
Surrey Hills (West) - Canterbury;9.55547161325465e-05
Sydenham;1.41820257672851e-05
Tarneit;3.46981575751046e-05
Taylors Hill;3.56589619210058e-05
Taylors Lakes;3.07029130242261e-05
Templestowe;0.000124677879724435
Templestowe Lower;0.000171786201907093
Thomastown;4.48248141064464e-05
Thornbury;6.29149443894089e-05
Toorak;0.000463159296788092
Truganina;1.87573909173571e-06
Tullamarine;4.36352289990265e-05
Upwey - Tecoma;0.000330807373613727
Vermont;0.000113082413160453
Vermont South;8.01627970704323e-05
Viewbank - Yallambie;0.000109533760216875
Wallan;0.000172580302222494
Wandin - Seville;3.09406597243605e-05
Wantirna;0.000265623766640769
Wantirna South;0.000203937346359734
Warrandyte - Wonga Park;0.000265571213974503
Watsonia;0.000162842417271387
Wattle Glen - Diamond Creek;0.000188718940148161
Werribee;0.000121430046895376
Werribee - South;0.000219523696291713
West Footscray - Tottenham;1.4863886931569e-05
Wheelers Hill;0.000244883097639725
Whittlesea;0.000152305600477943
Williamstown;0.000123166595335608
Wyndham Vale;6.86626501837017e-05
Yarra - North;9.58495207847339e-05
Yarra Valley;0.000220210681002521
Yarraville;8.02377174833554e-05
