"SA2","p-value
mu= 2","Equivalent (0 - no, 1 - yes )
alpha=0.05
confidence=90%"
"Camberwell","0.0198153733256769","1"
"Campbellfield - Coolaroo","1.1567149816676e-05","1"
"Carlton","1.44456575509359e-10","1"
"Carlton North - Princes Hill","2.43763375450783e-10","1"
"Carnegie","0.000191791515019847","1"
"Caroline Springs","3.36587618184234e-05","1"
"Carrum Downs","0.00238323000205528","1"
"Carrum - Patterson Lakes","2.36083193158274e-05","1"
"Caulfield - North","0.132813067454698","0"
"Caulfield - South","0.0502099766675664","0"
"Chelsea - Bonbeach","0.00135162989834614","1"
"Chelsea Heights","6.58764866769519e-10","1"
"Cheltenham - Highett (East)","0.207484445383071","0"
"Cheltenham - Highett (West)","9.28690007429042e-05","1"
"Chirnside Park","0.000252506304040415","1"
"Clarinda - Oakleigh South","4.91988253126304e-06","1"
"Clayton","1.61030523570588e-09","1"
"Clayton South","4.37064601642819e-13","1"
"Coburg","0.182515420536742","0"
"Coburg North","4.71049924926356e-07","1"
"Collingwood","1.66847179850773e-14","1"
"Craigieburn - Mickleham","0.000115323961687615","1"
"Cranbourne","8.50294729559088e-06","1"
"Cranbourne East","7.43204051651487e-14","1"
"Cranbourne North","3.46566733627624e-13","1"
"Cranbourne South","1.93383891398868e-16","1"
"Cranbourne West","1.23810523549737e-14","1"
"Croydon","0.631238150669338","0"
"Croydon Hills - Warranwood","0.00591106169897367","1"
"Dandenong","0.0048017806456149","1"
"Dandenong North","0.0459469936622501","1"
"Deer Park - Derrimut","1.09286323788323e-12","1"
"Delahey","1.41609533672304e-11","1"
"Dingley Village","0.000638872949399309","1"
"Docklands","2.30853206960097e-09","1"
"Doncaster","0.021473956775951","1"
"Doncaster East","0.337515909350992","0"
"Donvale - Park Orchards","0.000741790247602214","1"
"Doveton","3.67722945442211e-11","1"
"Dromana","0.000168706524607681","1"
"East Melbourne","1.08296141756772e-15","1"
"Edithvale - Aspendale","0.000860915267134228","1"
"Elsternwick","0.000931672533069152","1"
"Eltham","0.0112239319592105","1"
"Elwood","2.98442413486447e-06","1"
"Emerald - Cockatoo","0.0187719806138019","1"
"Endeavour Hills","0.0441384811877839","1"
"Epping","0.013214855089151","1"
"Essendon - Aberfeldie","0.138609980720849","0"
"Fawkner","2.31873882082422e-05","1"
"Ferntree Gully","0.0970066343624258","0"
"Fitzroy","1.79754889670161e-13","1"
"Fitzroy North","4.59037638069021e-11","1"
"Flemington","2.60432296108242e-10","1"
"Flemington Racecourse","1.56322943307934e-28","1"
"Flinders","1.41108926927514e-06","1"
"Footscray","1.06220668136485e-12","1"
"Forest Hill","0.0173229719941249","1"
"Frankston","0.624617368484156","0"
"Frankston North","0.262848907488935","0"
"Frankston South","0.034886563683983","1"
"Gisborne","0.00999565042294395","1"
"Gladstone Park - Westmeadows","0.00311035004713919","1"
"Glen Iris - East","0.00177570551069509","1"
"Glenroy - Hadfield","0.367166141655012","0"
"Glen Waverley - East","0.0228094929068061","1"
"Glen Waverley - West","0.00142453533410092","1"
"Greensborough","0.0397639922252425","1"
"Greenvale - Bulla","1.51681757322432e-10","1"
"Hallam","1.19775211020409e-14","1"
"Hampton","0.0749599477888235","0"
"Hampton Park - Lynbrook","4.28876037601735e-05","1"
"Hastings - Somers","0.0177223092462278","1"
"Hawthorn","0.0030873855449303","1"
"Hawthorn East","0.00150550647579977","1"
"Healesville - Yarra Glen","0.00261362389952426","1"
"Heidelberg - Rosanna","0.00111026789008611","1"
"Heidelberg West","0.000739876300327937","1"
"Hillside","1.22249847829409e-07","1"
"Hoppers Crossing - North","0.000139519814924477","1"
"Hoppers Crossing - South","0.00580673854798656","1"
"Hughesdale","1.20009208772319e-07","1"
"Hurstbridge","3.80976316464523e-14","1"
"Ivanhoe","3.50921601228456e-05","1"
"Ivanhoe East - Eaglemont","5.15822941561789e-05","1"
"Keilor","2.05663812184674e-07","1"
"Keilor Downs","3.56959712198755e-08","1"
"Keilor East","0.0159167747459222","1"
"Kensington","7.15272579200492e-07","1"
"Kew","0.186824096486604","0"
"Kew East","6.30388605240997e-06","1"
"Keysborough","0.00111214072372418","1"
"Kilsyth","2.24141497111112e-09","1"
"Kinglake","5.78740528573511e-15","1"
"Kingsbury","6.75174852541684e-15","1"
"Kings Park (Vic.)","7.60323331367803e-07","1"
"Knoxfield - Scoresby","0.00159112027158896","1"
"Koo Wee Rup","2.57264913686926e-15","1"
"Lalor","1.97811637151607e-05","1"
"Langwarrin","0.052026271759428","0"
"Laverton","2.19624372817128e-21","1"
"Lilydale - Coldstream","0.000823760738057144","1"
"Lynbrook - Lyndhurst","2.41295119887924e-15","1"
"Lysterfield","2.33669539169874e-12","1"
"Macedon","4.20894579652204e-08","1"
"Malvern East","0.109000564243195","0"
"Malvern - Glen Iris","0.0135473037828733","1"
"Maribyrnong","7.68457525224202e-12","1"
"Meadow Heights","3.0083407610854e-07","1"
"Melbourne","2.13595785400936e-09","1"
"Melbourne Airport","1.08445861879873e-27","1"
"Melton","0.000131105967764628","1"
"Melton South","0.000268605748637034","1"
"Melton West","1.67322990351166e-08","1"
"Mentone","3.41806447777745e-07","1"
"Mill Park - North","0.000261001821548367","1"
"Mill Park - South","3.84033205301826e-09","1"
"Mitcham (Vic.)","0.0617948812246574","0"
"Monbulk - Silvan","2.27430255350963e-11","1"
"Montmorency - Briar Hill","0.00216766172576537","1"
"Montrose","6.13515648577378e-12","1"
"Moonee Ponds","0.00703929620029269","1"
"Moorabbin - Heatherton","4.2040722764991e-07","1"
"Mooroolbark","0.171708852111464","0"
"Mordialloc - Parkdale","0.0206093301023812","1"
"Mornington","0.375000236225939","0"
"Mount Dandenong - Olinda","0.000114838804347151","1"
"Mount Eliza","0.00348706196775672","1"
"Mount Evelyn","7.4570342248362e-08","1"
"Mount Martha","0.00138095299337635","1"
"Mount Waverley - North","0.0118052078146276","1"
"Mount Waverley - South","0.0378370540346376","1"
"Mulgrave","0.0500545639852464","0"
"Murrumbeena","1.23157870101659e-07","1"
"Narre Warren","0.0213847289097305","1"
"Narre Warren North","5.03615567736695e-13","1"
"Narre Warren South","0.00210830300753125","1"
"Newport","0.228781117281166","0"
"Niddrie - Essendon West","3.88308572423014e-10","1"
"Noble Park","2.82951779986264e-05","1"
"Noble Park North","6.88455419548415e-21","1"
"Northcote","0.0270684133861365","1"
"North Melbourne","2.54745342205513e-05","1"
"Nunawading","3.67198391001537e-13","1"
"Oakleigh - Huntingdale","0.000205641612718718","1"
"Ormond - Glen Huntly","6.90923113852992e-05","1"
"Pakenham - North","2.27543739215006e-07","1"
"Pakenham - South","0.0782310545122621","0"
"Panton Hill - St Andrews","2.08142988140961e-06","1"
"Parkville","1.79074092437773e-10","1"
"Pascoe Vale","0.0243236649828541","1"
"Pascoe Vale South","0.00622326483606542","1"
"Pearcedale - Tooradin","6.08015367642769e-09","1"
"Plenty - Yarrambat","2.85872761925878e-11","1"
"Point Cook","0.000100810171377066","1"
"Point Nepean","0.235368928190723","0"
"Port Melbourne","0.0144343578861164","1"
"Port Melbourne Industrial","7.0761545975836e-29","1"
"Prahran - Windsor","0.00010281967630508","1"
"Preston","0.343118826249055","0"
"Research - North Warrandyte","2.28261002989615e-07","1"
"Reservoir - East","0.00277476677819006","1"
"Reservoir - West","0.148625986828959","0"
"Richmond (Vic.)","0.0212241143930851","1"
"Riddells Creek","7.41661092695984e-11","1"
"Ringwood","0.0117444118117595","1"
"Ringwood East","0.0407340019499694","1"
"Ringwood North","3.76445829222131e-05","1"
"Rockbank - Mount Cottrell","1.08631234519647e-25","1"
"Romsey","1.87490054290561e-05","1"
"Rosebud - McCrae","0.0103849772012468","1"
"Rowville - Central","0.0226708696324199","1"
"Rowville - North","1.32419590056673e-12","1"
"Rowville - South","1.67018116585492e-05","1"
"Roxburgh Park - Somerton","6.08174586295148e-13","1"
"Sandringham - Black Rock","0.00570236078693003","1"
"Seabrook","4.57027878555668e-14","1"
"Seaford (Vic.)","8.60621378354149e-06","1"
"Seddon - Kingsville","3.31760107132542e-13","1"
"Skye - Sandhurst","9.12684810944838e-06","1"
"Somerville","0.0864442822996434","0"
"Southbank","6.52665955461043e-08","1"
"South Melbourne","5.5710856418226e-05","1"
"South Morang","0.0122419091400797","1"
"South Yarra - East","0.00119148491079043","1"
"South Yarra - West","2.66838234912374e-06","1"
"Springvale","6.77354448696698e-10","1"
"Springvale South","6.31117659615623e-12","1"
"St Albans - North","4.45683446125755e-06","1"
"St Albans - South","3.91568910037676e-05","1"
"St Kilda","9.69381374900818e-05","1"
"St Kilda East","4.67170138199233e-07","1"
"Strathmore","3.57364890690823e-05","1"
"Sunbury","6.03532962735821e-05","1"
"Sunbury - South","0.00736343204769226","1"
"Sunshine","6.03530782389372e-09","1"
"Sunshine North","1.24531964102965e-13","1"
"Sunshine West","0.00172265424025694","1"
"Surrey Hills (East) - Mont Albert","9.68218205266843e-07","1"
"Surrey Hills (West) - Canterbury","0.000796450013841818","1"
"Sydenham","1.59461758666381e-21","1"
"Tarneit","2.64826708756574e-05","1"
"Taylors Hill","9.14178923472943e-15","1"
"Taylors Lakes","1.90534126063407e-07","1"
"Templestowe","0.00215844718133339","1"
"Templestowe Lower","0.00153395999333376","1"
"Thomastown","0.00434950983835197","1"
"Thornbury","0.000523476177690754","1"
"Toorak","0.0152555886239304","1"
"Truganina","2.53732930567068e-20","1"
"Tullamarine","2.6964756208389e-20","1"
"Upwey - Tecoma","7.17331876575054e-09","1"
"Vermont","1.39861373719272e-05","1"
"Vermont South","6.70714344603478e-05","1"
"Viewbank - Yallambie","0.00451462212667374","1"
"Wallan","1.93393105717698e-05","1"
"Wandin - Seville","1.72636253550773e-08","1"
"Wantirna","0.000315681499132918","1"
"Wantirna South","0.0312095871918807","1"
"Warrandyte - Wonga Park","0.000188366706404689","1"
"Watsonia","2.76557838558653e-05","1"
"Wattle Glen - Diamond Creek","6.95778403778368e-08","1"
"Werribee","0.0906234943395985","0"
"Werribee - South","0.00182752679479262","1"
"West Footscray - Tottenham","5.20663200350473e-07","1"
"Wheelers Hill","0.0999659398742732","0"
"Whittlesea","2.53270386461207e-12","1"
"Williamstown","0.00675557483195653","1"
"Wyndham Vale","1.53903307614534e-06","1"
"Yarra - North","2.89589239472027e-07","1"
"Yarra Valley","0.0437360692857961","1"
"Yarraville","0.00799290732590063","1"
