"","SA2","p-value
mu= 2","Equivalent
alpha=0.05
confidence=90%"
"174","Mount Eliza","4.42332530509457e-21","1"
"175","Mount Evelyn","4.26646201322896e-21","1"
"176","Mount Martha","4.39834217920987e-21","1"
"177","Mount Waverley - North","4.48555520576875e-21","1"
"178","Mount Waverley - South","4.5400602850137e-21","1"
"179","Mulgrave","4.56314816981462e-21","1"
"180","Murrumbeena","4.26664128845475e-21","1"
"181","Narre Warren","4.33893129978743e-21","1"
"182","Narre Warren North","4.513864815136e-21","1"
"183","Narre Warren South","4.30444889954952e-21","1"
"184","Newport","4.42332530509457e-21","1"
"185","Niddrie - Essendon West","4.37896554520346e-21","1"
"186","Noble Park","4.44583270586845e-21","1"
"187","Noble Park North","4.37896554520346e-21","1"
"188","Northcote","4.42351086993873e-21","1"
"189","North Melbourne","4.30444889954952e-21","1"
"190","Nunawading","4.42332530509457e-21","1"
"191","Oakleigh - Huntingdale","4.5144327439435e-21","1"
"192","Ormond - Glen Huntly","4.42258312005561e-21","1"
"193","Pakenham - North","4.33874912482521e-21","1"
"194","Pakenham - South","4.37000744972387e-21","1"
"195","Panton Hill - St Andrews","4.08007805861876e-21","1"
"196","Parkville","2.72768237587037e-19","1"
"197","Pascoe Vale","4.56314816981462e-21","1"
"198","Pascoe Vale South","4.33856695716769e-21","1"
"199","Pearcedale - Tooradin","4.1801803625647e-21","1"
"200","Plenty - Yarrambat","4.36945720931994e-21","1"
"201","Point Cook","4.18070781718681e-21","1"
"202","Point Nepean","4.37000744972387e-21","1"
"203","Port Melbourne","4.22541926338142e-21","1"
"204","Port Melbourne Industrial","1.22428530721482e-23","1"
"205","Prahran - Windsor","4.42351086993873e-21","1"
"206","Preston","4.44564624688316e-21","1"
"207","Research - North Warrandyte","4.13244711788688e-21","1"
"208","Reservoir - East","4.5144327439435e-21","1"
"209","Reservoir - West","4.56295690218201e-21","1"
"210","Richmond (Vic.)","4.33893129978743e-21","1"
"211","Riddells Creek","4.08024984667617e-21","1"
"212","Ringwood","4.42313974768457e-21","1"
"213","Ringwood East","4.46526527110156e-21","1"
"214","Ringwood North","4.48480260883479e-21","1"
"215","Rockbank - Mount Cottrell","3.69333598288996e-21","1"
"216","Romsey","4.26646201322896e-21","1"
"217","Rosebud - McCrae","4.48177154156027e-21","1"
"218","Rowville - Central","4.33856695716769e-21","1"
"219","Rowville - North","4.13192547986493e-21","1"
"220","Rowville - South","4.13244711788688e-21","1"
"221","Roxburgh Park - Somerton","4.18053199191742e-21","1"
"222","Sandringham - Black Rock","4.44583270586845e-21","1"
"223","Seabrook","3.90296757636694e-21","1"
"224","Seaford (Vic.)","4.39834217920987e-21","1"
"225","Seddon - Kingsville","4.2659242307143e-21","1"
"226","Skye - Sandhurst","4.02512005909272e-21","1"
"227","Somerville","4.37019087789646e-21","1"
"228","Southbank","3.90313223519719e-21","1"
"229","South Melbourne","4.39760399791202e-21","1"
"230","South Morang","4.39760399791202e-21","1"
"231","South Yarra - East","4.37019087789646e-21","1"
"232","South Yarra - West","4.42165555599426e-21","1"
"233","Springvale","4.48536704522919e-21","1"
"234","Springvale South","4.39723495163231e-21","1"
"235","St Albans - North","4.51405411715698e-21","1"
"236","St Albans - South","4.48536704522919e-21","1"
"237","St Kilda","4.46526527110156e-21","1"
"238","St Kilda East","4.30408732267127e-21","1"
"239","Strathmore","4.45311533346685e-21","1"
"240","Sunbury","4.26646201322896e-21","1"
"241","Sunbury - South","4.37000744972387e-21","1"
"242","Sunshine","4.48480260883479e-21","1"
"243","Sunshine North","4.48536704522919e-21","1"
"244","Sunshine West","4.45330220175719e-21","1"
"245","Surrey Hills (East) - Mont Albert","4.42332530509457e-21","1"
"246","Surrey Hills (West) - Canterbury","4.58327393490326e-21","1"
"247","Sydenham","4.33838479681458e-21","1"
"248","Tarneit","3.96601802184365e-21","1"
"249","Taylors Hill","3.965516466825e-21","1"
"250","Taylors Lakes","4.18070781718681e-21","1"
"251","Templestowe","4.56295690218201e-21","1"
"252","Templestowe Lower","5.44725334567572e-21","1"
"253","Thomastown","4.41793135858908e-21","1"
"254","Thornbury","4.37019087789646e-21","1"
"255","Toorak","4.42351086993873e-21","1"
"256","Truganina","3.6169391757572e-21","1"
"257","Tullamarine","4.33686489164958e-21","1"
"258","Upwey - Tecoma","4.22541926338142e-21","1"
"259","Vermont","4.48536704522919e-21","1"
"260","Vermont South","4.51424342675939e-21","1"
"261","Viewbank - Yallambie","4.5402506360044e-21","1"
"262","Wallan","4.13209935221777e-21","1"
"263","Wandin - Seville","4.18053199191742e-21","1"
"264","Wantirna","4.56295690218201e-21","1"
"265","Wantirna South","4.56295690218201e-21","1"
"266","Warrandyte - Wonga Park","4.33874912482521e-21","1"
"267","Watsonia","4.37933334386682e-21","1"
"268","Wattle Glen - Diamond Creek","4.36964061543586e-21","1"
"269","Werribee","4.39815762279239e-21","1"
"270","Werribee - South","4.48555520576875e-21","1"
"271","West Footscray - Tottenham","4.22541926338142e-21","1"
"272","Wheelers Hill","4.90885565800262e-21","1"
"273","Whittlesea","4.33874912482521e-21","1"
"274","Williamstown","4.30444889954952e-21","1"
"275","Wyndham Vale","4.33856695716769e-21","1"
"276","Yarra - North","4.22541926338142e-21","1"
"277","Yarra Valley","4.42295419770823e-21","1"
"278","Yarraville","4.39815762279239e-21","1"
