"","start_error%","end_error%"
"Carnegie",1.65953243332236,0.981231478432664
"Caulfield - North",2.46839581517001,1.64559721011334
"Caulfield - South",2.39942622416379,1.90389254743431
"Elsternwick",2.19284762783072,1.42432626293678
"Hughesdale",2.24869694713328,1.78704393149665
"Murrumbeena",2.03365210023,1.04103619416536
"Ormond - Glen Huntly",2.48178892088768,1.37218363543961
"Aspendale Gardens - Waterways",2.36777005536577,2.35599010484156
"Braeside",0,-100
"Carrum - Patterson Lakes",2.08076009501188,1.83372921615202
"Chelsea - Bonbeach",2.16566950366563,1.46625094800708
"Chelsea Heights",2.67857142857143,2.79761904761905
"Cheltenham - Highett (East)",2.03455094182537,1.44656051618275
"Edithvale - Aspendale",2.16073781291173,1.57224418093983
"Mentone",1.2040381587478,0.84282671112346
"Moorabbin - Heatherton",2.4455077086656,1.99362041467305
"Moorabbin Airport",NA,NA
"Mordialloc - Parkdale",1.98709239130435,1.37001811594203
"Malvern - Glen Iris",2.68363151461273,1.71685742860318
"Malvern East",3.36477987421384,2.14360587002096
"Bundoora - East",0.902205390955669,1.2920472265538
"Greensborough",2.50759487153082,2.13171309407343
"Heidelberg - Rosanna",2.28786335501058,1.8099192979707
"Heidelberg West",2.4928092042186,2.3489932885906
"Ivanhoe",1.8669446550417,1.34571645185747
"Ivanhoe East - Eaglemont",3.27469553450609,2.47631935047361
"Montmorency - Briar Hill",2.291917973462,1.93673770272082
"Viewbank - Yallambie",2.40174672489083,1.92375781895433
"Watsonia",2.22940972623311,1.767355896962
"Kingsbury",1.3413506012951,0.578168362627197
"Preston",2.62445399083066,1.96743799862821
"Reservoir - East",1.14008648931988,0.786266544358537
"Reservoir - West",1.95761577173461,1.60210536035828
"Eltham",3.43757030371204,2.73115860517435
"Hurstbridge",3.40215178831056,3.31491712707182
"Kinglake",3.10407790626902,2.9214850882532
"Panton Hill - St Andrews",4.05042364124819,3.47179169249845
"Plenty - Yarrambat",1.01493233784414,1.00326644890341
"Research - North Warrandyte",2.77513479226134,2.12496035521725
"Wattle Glen - Diamond Creek",2.23114336447155,1.74476955145526
"Bundoora - North",0.839351942221355,0.897911380050751
"Bundoora - West",2.17580504786771,1.86248912097476
"Epping",1.75281772250292,1.69063350174893
"Lalor",1.02607056852686,1.02607056852686
"Mill Park - North",2.16009450413456,2.17697024244811
"Mill Park - South",1.71055974256923,1.80370903548141
"South Morang",2.07707910750507,1.88776200135226
"Thomastown",1.61990903980786,1.49215596095866
"Wallan",2.82620179609086,2.55326642014439
"Whittlesea",0.536465129766565,0.536465129766565
"Airport West",1.03463787674314,0.944669365721997
"Essendon Airport",NA,NA
"Keilor",2.05889693037185,2.10880958322935
"Keilor East",1.77818355723664,1.72601191252554
"Niddrie - Essendon West",0.988630746416214,0.461361014994233
"Strathmore",2.09774089442139,1.50991240202858
"Gisborne",3.7406015037594,2.75375939849624
"Macedon",5.69290826284971,3.51333767078725
"Riddells Creek",3.32600329851567,2.52886201209456
"Romsey",1.92188468691878,1.81029138251705
"Coburg North",1.8976897689769,1.6006600660066
"Fawkner",0.801295712215497,0.79277128974512
"Glenroy - Hadfield",2.27034171752906,2.09540100299343
"Pascoe Vale",1.74103951802308,1.42959256611866
"Sunbury",2.06423912145983,1.76698868796961
"Sunbury - South",1.94986072423398,1.64519498607242
"Broadmeadows",0.793343653250774,0.938467492260062
"Campbellfield - Coolaroo",1.25837223462553,1.11629795007104
"Craigieburn - Mickleham",1.42238527695916,1.4103566488242
"Gladstone Park - Westmeadows",2.11331754417927,2.0829537863606
"Greenvale - Bulla",1.10225538409361,1.18704425979312
"Meadow Heights",1.50355004872616,1.50355004872616
"Melbourne Airport",-24.390243902439,-19.5121951219512
"Roxburgh Park - Somerton",0.882520894980014,0.97596428386025
"Tullamarine",1.01334234082081,0.760006755615605
"Bayswater",1.87399943497504,1.6479894528675
"Boronia - The Basin",1.99317348615735,1.83304538367536
"Ferntree Gully",2.33665724066081,2.05015627325495
"Knoxfield - Scoresby",2.09453050901043,1.69933607334809
"Lysterfield",1.71680579618838,1.48054811781383
"Rowville - Central",2.75100401606426,2.45649263721553
"Rowville - North",1.43894053228066,1.52807844135999
"Rowville - South",2.56241168158267,2.16674517192652
"Wantirna",2.49416019893,2.4338783814332
"Wantirna South",2.92414933837429,2.77646502835539
"Donvale - Park Orchards",2.79918864097363,2.61663286004057
"Warrandyte - Wonga Park",3.52373125128416,3.05116087939182
"Bayswater North",2.14240131279059,1.82332026620476
"Croydon",2.42981331053157,2.06284737067123
"Croydon Hills - Warranwood",3.31399689851244,2.84303026822124
"Ringwood",1.94822348434817,1.51895390305112
"Ringwood East",2.07016169641358,1.68410451519051
"Ringwood North",3.02996546730534,2.58438231034867
"Forest Hill",2.29693046565045,1.49300480267279
"Mitcham (Vic.)",2.63824398480371,1.60405234276066
"Nunawading",0.878734622144113,1.16188244483499
"Vermont",1.84912796806052,1.79659592351334
"Vermont South",2.27127611055368,2.13445224847213
"Belgrave - Selby",3.53305785123967,2.78925619834711
"Chirnside Park",2.78252936480785,2.38339605428213
"Healesville - Yarra Glen",2.85073138297872,2.16921542553191
"Kilsyth",1.76284083703234,1.52187698161065
"Lilydale - Coldstream",1.93965517241379,1.75908667287978
"Monbulk - Silvan",2.2331566994701,2.40348221044663
"Montrose",1.54093097913323,1.54093097913323
"Mooroolbark",2.77402908981856,2.49412705553056
"Mount Dandenong - Olinda",2.46080139372822,2.12325783972125
"Mount Evelyn",1.95818121473614,1.6594756057086
"Upwey - Tecoma",1.82325182325182,1.79107679107679
"Wandin - Seville",1.54281670205237,0.905874026893135
"Yarra Valley",2.97342751429532,2.52943155062227
"Beaconsfield - Officer",1.15945805106826,0.99009900990099
"Bunyip - Garfield",1.47096774193548,1.21290322580645
"Emerald - Cockatoo",2.86820767275808,2.76533946508532
"Koo Wee Rup",0.631783573627086,0.550785679572331
"Pakenham - North",1.54626319727326,1.35505860836312
"Pakenham - South",1.93076885092094,1.59992099155597
"Berwick - North",2.26007677543186,1.94337811900192
"Berwick - South",1.99759754415625,1.86857676736219
"Doveton",1.48374197621804,1.39955803430496
"Endeavour Hills",2.42662075041044,2.33051695831498
"Hallam",0.894342762063228,0.831946755407654
"Narre Warren",1.47876541220082,1.40220807478443
"Narre Warren North",1.67606277616943,1.56940423586774
"Cranbourne",1.9071263330136,1.83377532020538
"Cranbourne East",1.24886171458306,1.11877195264733
"Cranbourne North",0.762699669017125,0.582817671607426
"Cranbourne South",1.01394169835234,0.903041825095057
"Cranbourne West",1.6727962984933,1.44738403132044
"Hampton Park - Lynbrook",1.49149889115972,1.46975692481628
"Lynbrook - Lyndhurst",1.35750647494865,1.214611056533
"Narre Warren South",1.54841939636676,1.46259476469747
"Pearcedale - Tooradin",2.03207077688692,1.74177495161736
"Clarinda - Oakleigh South",1.74502712477396,1.90777576853526
"Clayton South",0.680951516252043,0.472126384601416
"Dandenong",1.25115458896633,0.869090603745067
"Dandenong North",2.23651372624304,2.11652908427721
"Dingley Village",2.70079613020256,2.55970976519198
"Keysborough",1.7612929962702,1.60588479071695
"Noble Park",0.893661760288375,0.728446981075398
"Noble Park North",0.678637070549979,0.49483953060936
"Springvale",0.914763113367174,0.703257191201354
"Springvale South",0.98182757729739,1.12824046163121
"Ashwood - Chadstone",2.12932723709993,1.64598301763553
"Clayton",1.70226749917844,0.821557673348669
"Glen Waverley - East",2.00797134352454,1.68003632510973
"Glen Waverley - West",1.82958402853691,1.85259766411599
"Mount Waverley - North",2.50223413762288,1.82855571595518
"Mount Waverley - South",2.3219252630306,1.94098439956464
"Mulgrave",2.64368485413149,2.32923775694404
"Oakleigh - Huntingdale",1.52332094435429,1.2772862901115
"Wheelers Hill",3.38107031334123,2.99343167869064
"Ardeer - Albion",1.32763619716161,0.717228750190752
"Cairnlea",1.27679512709383,1.21822654328218
"Deer Park - Derrimut",0.839322753364526,0.810380589455405
"Delahey",1.91681282886495,1.74141819092959
"Keilor Downs",1.43662624546227,1.47524523055534
"Kings Park (Vic.)",1.43450654542604,1.5285725484048
"St Albans - North",1.08831198276839,1.02029248384537
"St Albans - South",1.75098576488672,1.53712490810666
"Sunshine",1.66584402764067,2.07305034550839
"Sunshine North",0.74224707676665,0.691408235892222
"Sunshine West",1.8182962124072,1.72392097646911
"Sydenham",0.589446107784431,0.673652694610778
"Taylors Lakes",1.53320034197777,1.51040182388145
"Altona",2.21516194510635,1.77389462536405
"Altona Meadows",2.78351090533832,2.82255815250739
"Altona North",1.53872167737572,1.43726750084545
"Newport",3.03248624574273,1.63741157977469
"Seabrook",2.00417536534447,1.52400835073069
"Williamstown",3.08948863636364,1.81107954545455
"Braybrook",1.25949901491697,1.04137348719392
"Footscray",1.14890943362355,0.484696167309936
"Maribyrnong",1.61494616846105,0.981633945535149
"Seddon - Kingsville",1.54317051396506,0.854482846575692
"West Footscray - Tottenham",2.02534275031159,1.52679684254258
"Yarraville",2.75116867192888,1.70127979155491
"Bacchus Marsh",1.76459775749035,1.59916671772563
"Caroline Springs",1.76713525534112,1.73536653164959
"Hillside",1.68580341142895,1.53315192141767
"Melton",1.98758505431539,1.79658588993673
"Melton South",2.47198641765705,2.45840407470289
"Melton West",1.62970680160738,1.7562137222801
"Rockbank - Mount Cottrell",-0.452488687782805,0
"Taylors Hill",1.07975622681505,1.04663487016428
"Hoppers Crossing - North",2.29011805859204,2.20813292522956
"Hoppers Crossing - South",2.04162425065038,1.97941409342835
"Laverton",0.061652281134402,-0.390464447184546
"Point Cook",1.73128427496493,1.53679377630404
"Tarneit",2.00152497140679,1.92527640106748
"Truganina",0.659563673262303,0.598680872653475
"Werribee",1.98542347323448,1.80949987434029
"Werribee - South",3.13133360356709,2.62464531820024
"Wyndham Vale",2.33392086549565,2.06649243299094
"Carrum Downs",1.65642076502732,1.42873406193078
"Frankston",2.72064370128237,1.93613276338949
"Frankston North",2.6783717289197,2.39879221650637
"Frankston South",2.73306102835175,2.21047573282076
"Langwarrin",3.05129249852868,2.77060980578569
"Seaford (Vic.)",1.5076053304617,1.3528065688518
"Skye - Sandhurst",2.71396723853833,2.65581079771251
"Dromana",2.34804940687294,1.94447841506665
"Flinders",3.18512184694314,2.07353569901667
"Hastings - Somers",2.39002042280731,1.88221007893139
"Mornington",2.75356766593238,1.9729910928072
"Mount Eliza",2.67439685805124,2.04476030172682
"Mount Martha",2.91378982707291,2.15367074174954
"Point Nepean",2.45731837988428,1.55011072219444
"Rosebud - McCrae",1.83585313174946,1.46072524724338
"Somerville",2.93750371647737,2.64018552655051
