SA2,FT statistic,FT p-value,FT degrees of freedom
Hampton,79436,0,6
Hampton Park - Lynbrook,110172,0,6
Hastings - Somers,91972,0,6
Hawthorn,92996,0,6
Hawthorn East,64268,0,6
Healesville - Yarra Glen,59336,0,6
Heidelberg - Rosanna,64108,0,6
Heidelberg West,55988,0,6
Hillside,89816,0,6
Hoppers Crossing - North,84864,0,6
Hoppers Crossing - South,85596,0,6
Hughesdale,32660,0,6
Hurstbridge,15304,0,6
Ivanhoe,51120,0,6
Ivanhoe East - Eaglemont,35872,0,6
Keilor,39028,0,6
Keilor Downs,59660,0,6
Keilor East,117652,0,6
Kensington (Vic.),43860,0,6
Kew,106128,0,6
Kew East,29004,0,6
Keysborough,117280,0,6
Kilsyth,38384,0,6
Kinglake,16744,0,6
Kings Park (Vic.),59688,0,6
Kingsbury,43776,0,6
Knoxfield - Scoresby,68264,0,6
Koo Wee Rup,32396,0,6
Lalor,100044,0,6
Langwarrin,106200,0,6
Laverton,36072,0,6
Lilydale - Coldstream,83080,0,6
Lynbrook - Lyndhurst,65160,0,6
Lysterfield,30796,0,6
Macedon,15412,0,6
Malvern - Glen Iris,86356,0,6
Malvern East,94708,0,6
Maribyrnong,51560,0,6
Meadow Heights,64096,0,6
Melbourne,132468,0,6
Melbourne Airport,144,1.43381961164563e-28,6
Melton,80160,0,6
Melton South,98092,0,6
Melton West,74784,0,6
Mentone,57008,0,6
Mernda,69500,0,6
Mickleham - Yuroke,14192,0,6
Mill Park - North,80892,0,6
Mill Park - South,53236,0,6
Mitcham (Vic.),71644,0,6
Monbulk - Silvan,25920,0,6
Montmorency - Briar Hill,71860,0,6
Montrose,29168,0,6
Moonee Ponds,61664,0,6
Moorabbin - Heatherton,38032,0,6
Mooroolbark,97652,0,6
Mordialloc - Parkdale,87860,0,6
Mornington,104148,0,6
Mount Dandenong - Olinda,43956,0,6
Mount Eliza,81904,0,6
Mount Evelyn,43344,0,6
Mount Martha,83912,0,6
Mount Waverley - North,70648,0,6
Mount Waverley - South,82644,0,6
Mulgrave,85572,0,6
Murrumbeena,40564,0,6
Narre Warren - North East,60752,0,6
Narre Warren - South West,60420,0,6
Narre Warren North,35164,0,6
Narre Warren South (East),60188,0,6
Narre Warren South (West),74000,0,6
Newport,76992,0,6
Niddrie - Essendon West,31180,0,6
Noble Park - East,50480,0,6
Noble Park - West,79344,0,6
Noble Park North,32948,0,6
North Melbourne,74704,0,6
Northcote,104232,0,6
Nunawading,51120,0,6
Oakleigh - Huntingdale,91988,0,6
Ormond - Glen Huntly,57408,0,6
Pakenham - North,77488,0,6
Pakenham - South,121988,0,6
Panton Hill - St Andrews,23128,0,6
Parkville,19316,0,6
Pascoe Vale,98928,0,6
Pascoe Vale South,43560,0,6
Pearcedale - Tooradin,33972,0,6
Plenty - Yarrambat,43308,0,6
Point Cook - East,54128,0,6
Point Cook - North,101420,0,6
Point Cook - South,61564,0,6
Point Nepean,72812,0,6
Port Melbourne,68000,0,6
Port Melbourne Industrial,20,0.00276939571551158,6
Prahran - Windsor,75524,0,6
Preston - East,81688,0,6
Preston - West,53200,0,6
Research - North Warrandyte,30724,0,6
Reservoir - East,110468,0,6
Reservoir - West,103224,0,6
Richmond (Vic.),121580,0,6
Riddells Creek,18328,0,6
Ringwood,73516,0,6
Ringwood East,89188,0,6
Ringwood North,43420,0,6
Rockbank - Mount Cottrell,7232,0,6
Romsey,41688,0,6
Rosebud - McCrae,89228,0,6
Rowville - Central,70660,0,6
Rowville - North,37324,0,6
Rowville - South,50044,0,6
Roxburgh Park - Somerton,95648,0,6
Sandringham - Black Rock,74028,0,6
Seabrook,22328,0,6
Seaford (Vic.),69280,0,6
Seddon - Kingsville,38916,0,6
Skye - Sandhurst,59340,0,6
Somerville,79456,0,6
South Melbourne,46196,0,6
South Morang (North),53560,0,6
South Morang (South),52968,0,6
South Yarra - East,79668,0,6
South Yarra - West,22748,0,6
Southbank,68648,0,6
Springvale,91956,0,6
Springvale South,55300,0,6
St Albans - North,84204,0,6
St Albans - South,71856,0,6
St Kilda,93324,0,6
St Kilda East,64020,0,6
Strathmore,43040,0,6
Sunbury,57032,0,6
Sunbury - South,116280,0,6
Sunshine,38208,0,6
Sunshine North,49544,0,6
Sunshine West,80480,0,6
Surrey Hills (East) - Mont Albert,44408,0,6
Surrey Hills (West) - Canterbury,73936,0,6
Sydenham,51084,0,6
Tarneit,146540,0,6
Taylors Hill,85340,0,6
Taylors Lakes,81724,0,6
Templestowe,76412,0,6
Templestowe Lower,61860,0,6
The Basin,19064,0,6
Thomastown,90392,0,6
Thornbury,77908,0,6
Toorak,57332,0,6
Truganina,92792,0,6
Tullamarine,27360,0,6
Upwey - Tecoma,43304,0,6
Vermont,47528,0,6
Vermont South,54736,0,6
Viewbank - Yallambie,81992,0,6
Wallan,69828,0,6
Wandin - Seville,33760,0,6
Wantirna,63312,0,6
Wantirna South,81988,0,6
Warrandyte - Wonga Park,46740,0,6
Watsonia,40564,0,6
Wattle Glen - Diamond Creek,62596,0,6
Werribee - East,83468,0,6
Werribee - South,47880,0,6
Werribee - West,52568,0,6
West Footscray - Tottenham,47652,0,6
Wheelers Hill,91868,0,6
Whittlesea,35448,0,6
Williamstown,68844,0,6
Wollert,37924,0,6
Wyndham Vale,98096,0,6
Yarra - North,36992,0,6
Yarra Valley,70048,0,6
Yarraville,63892,0,6
