SA2;Cosine similarity
Preston - West;1
Research - North Warrandyte;1
Reservoir - East;1
Reservoir - West;1
Richmond (Vic.);1
Riddells Creek;1
Ringwood;1
Ringwood East;1
Ringwood North;1
Rockbank - Mount Cottrell;1
Romsey;1
Rosebud - McCrae;1
Rowville - Central;1
Rowville - North;1
Rowville - South;1
Roxburgh Park - Somerton;1
Sandringham - Black Rock;1
Seabrook;1
Seaford (Vic.);1
Seddon - Kingsville;1
Skye - Sandhurst;1
Somerville;1
South Melbourne;1
South Morang (North);1
South Morang (South);1
South Yarra - East;1
South Yarra - West;1
Southbank;1
Springvale;1
Springvale South;1
St Albans - North;1
St Albans - South;1
St Kilda;1
St Kilda East;1
Strathmore;1
Sunbury;1
Sunbury - South;1
Sunshine;1
Sunshine North;1
Sunshine West;1
Surrey Hills (East) - Mont Albert;1
Surrey Hills (West) - Canterbury;1
Sydenham;1
Tarneit;1
Taylors Hill;1
Taylors Lakes;1
Templestowe;1
Templestowe Lower;1
The Basin;1
Thomastown;1
Thornbury;1
Toorak;1
Truganina;1
Tullamarine;1
Upwey - Tecoma;1
Vermont;1
Vermont South;1
Viewbank - Yallambie;1
Wallan;1
Wandin - Seville;1
Wantirna;1
Wantirna South;1
Warrandyte - Wonga Park;1
Watsonia;1
Wattle Glen - Diamond Creek;1
Werribee - East;1
Werribee - South;1
Werribee - West;1
West Footscray - Tottenham;1
Wheelers Hill;1
Whittlesea;1
Williamstown;1
Wollert;1
Wyndham Vale;1
Yarra - North;1
Yarra Valley;1
Yarraville;1
