,SA2,Cosine similarity
58,Caulfield - North,0.98211649033675
59,Caulfield - South,0.957101553770175
60,Chelsea - Bonbeach,0.969623752976541
61,Chelsea Heights,0.96554924073698
62,Cheltenham - Highett (East),0.964699750241973
63,Cheltenham - Highett (West),0.958280988576593
64,Chirnside Park,0.96178502259365
65,Clarinda - Oakleigh South,0.957477116969591
66,Clayton,0.983195258696789
67,Clayton South,0.975129391108394
68,Coburg,0.982042301086804
69,Coburg North,0.973340637669629
70,Collingwood,0.995634855965798
71,Craigieburn - Central,0.976365562944522
72,Craigieburn - North,0.986876144500185
73,Craigieburn - South,0.984480514224704
74,Craigieburn - West,0.992618122433661
75,Cranbourne,0.977457829433174
76,Cranbourne East,0.989234013443712
77,Cranbourne North,0.983613104859704
78,Cranbourne South,0.96821743743123
79,Cranbourne West,0.989152943307824
80,Croydon - East,0.978216805230397
81,Croydon - West,0.968053074707012
82,Croydon Hills - Warranwood,0.960450522151172
83,Croydon South,0.95390985310686
84,Dandenong,0.987717203991876
85,Dandenong North,0.96918912939255
86,Deer Park - Derrimut,0.984995282222022
87,Delahey,0.975219232167959
88,Dingley Village,0.946028866468408
89,Docklands,0.995896954546619
90,Doncaster,0.963714645804972
91,Doncaster East (North),0.949301317413308
92,Doncaster East (South),0.9548114993515
93,Donvale - Park Orchards,0.950282003520691
94,Doreen,0.985313489616754
95,Doveton,0.982509970289403
96,Dromana,0.95859082721599
97,East Melbourne,0.989387697916039
98,Edithvale - Aspendale,0.960833363038443
99,Elsternwick,0.971869437653507
100,Eltham,0.951455781026707
101,Elwood,0.989892714638954
102,Emerald - Cockatoo,0.961064024217688
103,Endeavour Hills - North,0.972215245409183
104,Endeavour Hills - South,0.967812241068563
105,Epping - East,0.975400797573493
106,Epping - South,0.975501778235541
107,Epping - West,0.987095126919733
108,Essendon - Aberfeldie,0.980661150859844
109,Fawkner,0.976930525305775
110,Ferntree Gully (North),0.967695018908469
111,Ferntree Gully (South) - Upper Ferntree Gully,0.969729260948707
112,Fitzroy,0.991524175613108
113,Fitzroy North,0.985514798820895
114,Flemington,0.992063900631633
115,Flemington Racecourse,0.815762222099284
116,Flinders,0.926828302847387
117,Footscray,0.992880241556418
118,Forest Hill,0.962633319217547
119,Frankston,0.97088825171216
120,Frankston North,0.973701210914222
121,Frankston South,0.954745912590022
122,Gisborne,0.96002243717406
123,Gladstone Park - Westmeadows,0.969200111491519
124,Glen Iris - East,0.953610012609564
125,Glen Waverley - East,0.953314082700716
126,Glen Waverley - West,0.959268534705162
127,Glenroy,0.984753130997148
128,Gowanbrae,0.955377449579012
129,Greensborough,0.967316766109335
130,Greenvale - Bulla,0.976846842521134
131,Hadfield,0.974216557291833
132,Hallam,0.972999326138337
133,Hampton,0.95330975768455
134,Hampton Park - Lynbrook,0.982681910386269
135,Hastings - Somers,0.959062721246468
136,Hawthorn,0.988490053115931
137,Hawthorn East,0.985683037180612
138,Healesville - Yarra Glen,0.957622944661649
139,Heidelberg - Rosanna,0.963828083719039
140,Heidelberg West,0.978854767571738
141,Hillside,0.981168183689222
142,Hoppers Crossing - North,0.976925313832052
143,Hoppers Crossing - South,0.972108783892332
144,Hughesdale,0.974066346683283
145,Hurstbridge,0.96062689192431
146,Ivanhoe,0.957488318335553
147,Ivanhoe East - Eaglemont,0.940540042275731
148,Keilor,0.950215950643865
149,Keilor Downs,0.969423758048595
150,Keilor East,0.957595862071011
151,Kensington (Vic.),0.991336627163685
152,Kew,0.965133256490225
153,Kew East,0.951994129054827
154,Keysborough,0.972978163748018
155,Kilsyth,0.969159251143844
156,Kinglake,0.947727530746533
157,Kings Park (Vic.),0.963459710527984
158,Kingsbury,0.963876147548386
159,Knoxfield - Scoresby,0.965290480355494
160,Koo Wee Rup,0.959860477924471
161,Lalor,0.972291947856482
162,Langwarrin,0.968003730350879
163,Laverton,0.987355325256845
164,Lilydale - Coldstream,0.967723388355343
165,Lynbrook - Lyndhurst,0.984783009350007
166,Lysterfield,0.958805230680946
167,Macedon,0.940207446219797
168,Malvern - Glen Iris,0.973933553203084
169,Malvern East,0.968585626917422
170,Maribyrnong,0.984146788151639
171,Meadow Heights,0.978716020779717
172,Melbourne,0.998950559099412
173,Melbourne Airport,0.583182881858757
174,Melton,0.974075771134797
175,Melton South,0.982580231034768
176,Melton West,0.980695587860897
177,Mentone,0.967912579706544
178,Mernda,0.987840929673875
179,Mickleham - Yuroke,0.972685014485131
180,Mill Park - North,0.967835111593397
181,Mill Park - South,0.975543548944983
182,Mitcham (Vic.),0.974783472107877
183,Monbulk - Silvan,0.952581352485868
184,Montmorency - Briar Hill,0.960320662589318
185,Montrose,0.957042354214117
186,Moonee Ponds,0.974367099625745
187,Moorabbin - Heatherton,0.961724876134894
188,Mooroolbark,0.972079025855757
189,Mordialloc - Parkdale,0.964941702870822
190,Mornington,0.957667483737918
191,Mount Dandenong - Olinda,0.942509000642145
192,Mount Eliza,0.921504385154303
193,Mount Evelyn,0.965983827071399
194,Mount Martha,0.941670981720827
195,Mount Waverley - North,0.950242763698305
196,Mount Waverley - South,0.955566305523044
197,Mulgrave,0.967755184792512
198,Murrumbeena,0.976206796975383
199,Narre Warren - North East,0.974643333973673
200,Narre Warren - South West,0.980443281619732
201,Narre Warren North,0.96303079854583
202,Narre Warren South (East),0.969489628719557
203,Narre Warren South (West),0.981222848552114
204,Newport,0.972227736207085
205,Niddrie - Essendon West,0.964474522836497
206,Noble Park - East,0.981314556454459
207,Noble Park - West,0.977374954351468
208,Noble Park North,0.970897143478687
209,North Melbourne,0.996250428233518
210,Northcote,0.979764045065882
211,Nunawading,0.970423005577798
212,Oakleigh - Huntingdale,0.97113141204603
213,Ormond - Glen Huntly,0.977459792800623
214,Pakenham - North,0.98308676586865
215,Pakenham - South,0.9805494752664
216,Panton Hill - St Andrews,0.94205265366327
217,Parkville,0.904077787829524
218,Pascoe Vale,0.982704290565429
219,Pascoe Vale South,0.964363274605562
220,Pearcedale - Tooradin,0.957105380753362
221,Plenty - Yarrambat,0.953788045375075
222,Point Cook - East,0.978741630768125
223,Point Cook - North,0.980113994748979
224,Point Cook - South,0.989848958533866
225,Point Nepean,0.957010005996725
226,Port Melbourne,0.980939776748158
227,Port Melbourne Industrial,0
228,Prahran - Windsor,0.994778169960348
229,Preston - East,0.983908021213467
230,Preston - West,0.973402540712057
231,Research - North Warrandyte,0.944566392732232
232,Reservoir - East,0.981182513282693
233,Reservoir - West,0.976925483002985
234,Richmond (Vic.),0.994231813066485
235,Riddells Creek,0.949469515847775
236,Ringwood,0.976976646581059
237,Ringwood East,0.969077998674531
238,Ringwood North,0.945549843594927
239,Rockbank - Mount Cottrell,0.895487857484625
240,Romsey,0.95178509534571
241,Rosebud - McCrae,0.962360358082494
242,Rowville - Central,0.964371525228099
243,Rowville - North,0.964796160797098
244,Rowville - South,0.965718060139259
245,Roxburgh Park - Somerton,0.984462710189766
246,Sandringham - Black Rock,0.941816745776794
247,Seabrook,0.955977673121361
248,Seaford (Vic.),0.975264065583353
249,Seddon - Kingsville,0.981070629409584
250,Skye - Sandhurst,0.971639973114772
251,Somerville,0.966687012949696
252,South Melbourne,0.988963830828105
253,South Morang (North),0.982412160096358
254,South Morang (South),0.972173783282851
255,South Yarra - East,0.996961732065353
256,South Yarra - West,0.989174285596715
257,Southbank,0.998468781410647
258,Springvale,0.977059189264905
259,Springvale South,0.976426410348342
260,St Albans - North,0.974808770025686
261,St Albans - South,0.969173690497656
262,St Kilda,0.996021254374199
263,St Kilda East,0.994855228191097
264,Strathmore,0.952637861417484
265,Sunbury,0.963293714051362
266,Sunbury - South,0.972222418090327
267,Sunshine,0.981919511947408
268,Sunshine North,0.975672547878678
269,Sunshine West,0.972125739197861
270,Surrey Hills (East) - Mont Albert,0.958703072012175
271,Surrey Hills (West) - Canterbury,0.946114712137449
272,Sydenham,0.971883238340216
273,Tarneit,0.992209758545664
274,Taylors Hill,0.9875101956752
275,Taylors Lakes,0.965226860125432
276,Templestowe,0.947735019687444
277,Templestowe Lower,0.942816727061104
278,The Basin,0.954745686706628
279,Thomastown,0.9708100901801
280,Thornbury,0.981208040099052
281,Toorak,0.971501900229276
282,Truganina,0.99078506544052
283,Tullamarine,0.978986952243574
284,Upwey - Tecoma,0.96101857221335
285,Vermont,0.958229173138241
286,Vermont South,0.927957473473349
287,Viewbank - Yallambie,0.959589224276311
288,Wallan,0.972902522787087
289,Wandin - Seville,0.959575564554659
290,Wantirna,0.958762862676626
291,Wantirna South,0.955600102850537
292,Warrandyte - Wonga Park,0.938705681553143
293,Watsonia,0.969463208470328
294,Wattle Glen - Diamond Creek,0.96251895715654
295,Werribee - East,0.973810411041504
296,Werribee - South,0.966991685967729
297,Werribee - West,0.974787565146082
298,West Footscray - Tottenham,0.98466129168072
299,Wheelers Hill,0.941443565360683
300,Whittlesea,0.962167882542912
301,Williamstown,0.952049121997078
302,Wollert,0.99062054748728
303,Wyndham Vale,0.987199516631469
304,Yarra - North,0.979345023869876
305,Yarra Valley,0.963814855020707
306,Yarraville,0.978896470947948
