"","start_error%","end_error%"
"Kew",5.32730576607721,3.14231263573106
"Kew East",2.06032635569474,2.09329157738586
"Surrey Hills (West) - Canterbury",4.39129582434817,3.45683852839313
"Bulleen",2.90874524714829,2.84220532319392
"Doncaster",5.45491042304411,4.81758418226527
"Templestowe",3.72030479605558,3.66907856822693
"Templestowe Lower",3.93122313403673,3.63423212192263
"Doncaster East (North)",3.19216854649925,3.19926225438036
"Doncaster East (South)",3.39034357499622,3.11033752081126
"Blackburn",3.98857593066772,3.70789836517629
"Blackburn South",3.98970398970399,3.47490347490348
"Box Hill",6.93616792827616,4.13378429161969
"Box Hill North",4.6675760631042,3.73643318901607
"Burwood",7.9380617602563,3.47067722701789
"Burwood East",4.67299255178043,4.07101316192225
"Surrey Hills (East) - Mont Albert",2.93487574978578,2.52784918594687
"Beaumaris",3.80937572883464,2.81427349762886
"Brighton (Vic.)",4.01192995959207,2.41966519145661
"Brighton East",4.05861696380335,2.74851431658563
"Cheltenham - Highett (West)",2.98142717497556,1.87683284457478
"Hampton",3.98463754200672,2.59241478636582
"Sandringham - Black Rock",3.92993045532082,2.55215850938197
"Bentleigh - McKinnon",4.57262961233069,3.67585240541803
"Carnegie",4.16419504093012,2.71681100960968
"Caulfield - North",3.94579720679093,2.49208244639427
"Caulfield - South",4.38473282442748,3.29160305343511
"Elsternwick",3.51440717997166,2.19178082191781
"Hughesdale",3.24347093513058,2.48525695029486
"Murrumbeena",3.71759890859482,2.17144156434743
"Ormond - Glen Huntly",3.40270633852971,2.76173142359737
"Bentleigh East (North)",3.81140598531903,3.30321852060982
"Bentleigh East (South)",2.72336359292881,2.54021340977863
"Aspendale Gardens - Waterways",3.09408787669657,3.08258569128134
"Braeside",0,-50
"Carrum - Patterson Lakes",3.1142511852747,2.71451148089616
"Chelsea - Bonbeach",3.42799659521783,2.53811034589492
"Chelsea Heights",4.67735777014127,4.42917143948072
"Cheltenham - Highett (East)",3.23073982030205,2.70024851844772
"Edithvale - Aspendale",3.12075983717775,2.54409769335142
"Mentone",3.94315287932309,2.93271995399655
"Moorabbin - Heatherton",4.05604719764012,3.42920353982301
"Moorabbin Airport",NA,NA
"Mordialloc - Parkdale",3.33868378812199,2.76618512573569
"Malvern - Glen Iris",4.00236699123137,2.46920221636452
"Malvern East",4.63255630185697,2.97807190833663
"Bundoora - East",3.56294536817102,3.174260418916
"Greensborough",2.62941237007307,2.41329628486158
"Heidelberg - Rosanna",3.58629756774523,2.82667445767292
"Heidelberg West",3.59129191164786,2.70141426982361
"Ivanhoe",4.28860666298546,3.22105650653414
"Ivanhoe East - Eaglemont",4.09991854466468,3.42112408362748
"Montmorency - Briar Hill",3.00310210547159,2.58728796779091
"Viewbank - Yallambie",3.38415338415338,3.15892815892816
"Watsonia",2.46203405430281,2.39300506212609
"Kingsbury",6.58518596565167,3.66663154567485
"Reservoir - East",3.58379148849521,3.35980452046426
"Reservoir - West",4.03010331314571,3.63822586391165
"Preston - East",4.71198410946811,3.53122930920327
"Preston - West",3.80076362374176,2.78549114890663
"Eltham",3.66834856129824,3.01831901450066
"Hurstbridge",0.342572407349735,0.436001245717845
"Kinglake",3.59815774323546,2.73459988485895
"Panton Hill - St Andrews",4.08858603066439,4.23764906303237
"Plenty - Yarrambat",2.54455778500168,2.66786234727049
"Research - North Warrandyte",4.07643312101911,3.47133757961783
"Wattle Glen - Diamond Creek",3.51118235249218,3.02267002518892
"Bundoora - North",4.55389007851535,4.18272662384011
"Bundoora - West",5.37323584424418,3.63883693249447
"Lalor",3.58534322820037,3.68274582560297
"Mill Park - North",3.1171118285882,3.12298209568535
"Mill Park - South",3.50675735359067,3.42725907605335
"Thomastown",3.43562719570159,3.24963835503203
"Wallan",3.72637742879957,3.4934788394996
"Whittlesea",3.26465078940326,3.02381589510302
"Doreen",3.24890139732385,2.85883572804029
"Epping - East",2.55412308440769,2.56223141165977
"Epping - South",2.98064516129032,2.55483870967742
"Epping - West",2.40092565808504,2.46842156011956
"Mernda",2.86374727109285,2.77385385899576
"South Morang (North)",2.66632373113855,2.63203017832647
"South Morang (South)",4.41781121511679,4.10287813839559
"Wollert",3.61613351877608,3.18729717199815
"Airport West",2.50495329748089,2.36343051231248
"Essendon Airport",NA,NA
"Keilor",2.68830525272547,2.73785926660059
"Keilor East",3.4605866363747,3.33482088522861
"Niddrie - Essendon West",3.07484625768712,2.71486425678716
"Strathmore",2.8813937904847,2.53517980790708
"Gisborne",3.26050700466978,2.68512341561041
"Macedon",4.31861804222649,2.59117082533589
"Riddells Creek",3.60264900662252,2.75496688741722
"Romsey",4.36346756411744,3.70198444934432
"Coburg North",4.0725921691912,3.40097170620177
"Fawkner",2.37458719924516,2.24878125491429
"Pascoe Vale",3.3055951450508,2.88262608615696
"Glenroy",4.34697185519917,3.97858440984331
"Gowanbrae",1.29773822766036,1.11234705228031
"Hadfield",2.43029389600603,1.75207234363225
"Sunbury",3.15736719011026,2.8566655529569
"Sunbury - South",3.63556548806768,3.32029691116609
"Broadmeadows",3.27189719310112,3.08589786946229
"Campbellfield - Coolaroo",1.98026448278177,1.98697724374035
"Gladstone Park - Westmeadows",2.15308102862688,2.32896652110626
"Greenvale - Bulla",2.25129882624591,2.09094990699763
"Meadow Heights",3.73984898133637,3.62587263142898
"Melbourne Airport",-87.5,-96.875
"Roxburgh Park - Somerton",2.38565714010314,2.21215480264109
"Tullamarine",2.69681742043551,2.31155778894472
"Craigieburn - Central",2.70098909459802,2.86583819426832
"Craigieburn - North",2.42995738507571,2.52062743675764
"Craigieburn - South",2.100622406639,2.04227178423237
"Craigieburn - West",2.45284425557295,2.53485424588086
"Mickleham - Yuroke",-1.18741976893453,-0.673940949935815
"Bayswater",3.94014520984594,3.86045687975916
"Knoxfield - Scoresby",3.68450158993502,3.75362919950228
"Lysterfield",3.81763685123837,3.59678182678656
"Rowville - Central",4.00887872469227,3.74655276787516
"Rowville - North",2.9227022176644,2.58941161389565
"Rowville - South",3.95742622157716,3.75423318819545
"Wantirna",3.88746029345031,3.66812887611557
"Wantirna South",4.15958755638877,4.07756752006562
"Boronia",3.59764694443094,3.36914774660897
"Ferntree Gully (North)",3.54193996450343,3.08665792113589
"Ferntree Gully (South) - Upper Ferntree Gully",3.67747012949846,3.6130786291765
"The Basin",3.85284613472533,3.35570469798658
"Donvale - Park Orchards",4.20934381814577,3.89876428996233
"Warrandyte - Wonga Park",4.58899063256499,3.93642774444795
"Bayswater North",2.95819935691318,2.79283417547083
"Croydon Hills - Warranwood",2.97445468330806,2.58952525370349
"Ringwood",3.85452284737333,3.53124028598073
"Ringwood East",3.59328416758199,3.33699461268895
"Ringwood North",2.78857904677258,2.82190867681369
"Croydon - East",2.93760274462154,2.7088842827532
"Croydon - West",2.92,2.608
"Croydon South",3.34663120567376,3.0363475177305
"Forest Hill",3.48894835959956,3.45921300426207
"Mitcham (Vic.)",3.07872174590803,2.83190439075084
"Nunawading",3.6047459469251,3.16094556652477
"Vermont",2.80103668261563,2.49202551834131
"Vermont South",3.98103417427089,3.92735730899982
"Belgrave - Selby",3.29108531259985,3.45084673554159
"Chirnside Park",3.90316732430415,3.7325370587608
"Healesville - Yarra Glen",2.99468684591853,2.85783287715344
"Kilsyth",1.98571255599952,1.69512047463373
"Lilydale - Coldstream",3.47801418439716,3.2
"Monbulk - Silvan",5.5327868852459,5.1043219076006
"Montrose",2.27012902172138,2.07414666013392
"Mooroolbark",3.78777064001903,3.74018558172734
"Mount Dandenong - Olinda",3.78594426557122,3.49727989341623
"Mount Evelyn",3.70611890011955,3.9126181936746
"Upwey - Tecoma",3.36254107338445,2.94633077765608
"Wandin - Seville",2.41116751269036,2.38296672306825
"Yarra Valley",4.04115115653577,3.85960193652501
"Beaconsfield - Officer",2.69922879177378,2.45822622107969
"Bunyip - Garfield",3.55934327609976,3.09562601829803
"Emerald - Cockatoo",3.69458128078818,3.62849933918058
"Koo Wee Rup",4.98396968813757,4.54677936461673
"Pakenham - North",3.46794170171093,3.01860706261881
"Pakenham - South",3.32665033043737,3.25239474270439
"Berwick - North",3.1568700166883,3.01780085295754
"Berwick - South",3.57936507936508,3.57142857142857
"Doveton",3.27678138633059,3.04411051866214
"Hallam",2.4770275669197,2.56691969636436
"Narre Warren North",1.97964589432594,2.14693991356476
"Endeavour Hills - North",3.18781546090498,3.16125033206411
"Endeavour Hills - South",3.17151094833632,2.91436141198473
"Narre Warren - North East",3.23652093310675,3.08975745403986
"Narre Warren - South West",3.06355738454504,2.92638317329675
"Cranbourne",3.56164383561644,3.51866774106903
"Cranbourne East",2.6958374303507,2.61799410029499
"Cranbourne North",3.13122836462813,2.82702192384349
"Cranbourne South",4.1319274153997,4.1319274153997
"Cranbourne West",2.58523527754297,2.45843899690054
"Hampton Park - Lynbrook",3.77334941964471,3.55701626658901
"Lynbrook - Lyndhurst",1.98465761137307,1.97761981842494
"Pearcedale - Tooradin",2.60979374210748,2.77816753192086
"Narre Warren South (East)",2.59832569894172,2.45616806191755
"Narre Warren South (West)",2.41069198101424,2.47939045715713
"Clarinda - Oakleigh South",3.65010012743492,3.67740760968505
"Clayton South",5.18130405854957,4.35795076513639
"Dandenong",4.47831609508256,3.94846670295772
"Dandenong North",4.24379445150959,4.07423107719844
"Dingley Village",2.96303838712962,3.23795947459525
"Keysborough",3.8719463515887,3.69631167172282
"Noble Park North",2.58706467661692,2.55863539445629
"Springvale",6.14125881019272,5.74202769973877
"Springvale South",4.49887528117971,4.33225027076564
"Noble Park - East",4.93989646398175,4.53628147758182
"Noble Park - West",5.28964373534626,5.07233945216447
"Ashwood - Chadstone",4.36976785608265,3.41981832215164
"Clayton",7.62242649035102,3.7628339515132
"Glen Waverley - East",4.3456983458941,4.13037095037682
"Glen Waverley - West",4.78848574399387,4.62430908991408
"Mount Waverley - North",3.9419227898772,3.67053395752765
"Mount Waverley - South",4.51149425287356,4.35057471264368
"Mulgrave",3.3359107478184,3.07632828896498
"Oakleigh - Huntingdale",4.72945891783567,3.66733466933868
"Wheelers Hill",3.30719581799755,3.18984370832667
"Ardeer - Albion",4.19491525423729,3.64406779661017
"Cairnlea",3.31331760669097,3.30259489598971
"Deer Park - Derrimut",2.99474391883633,2.8195412133806
"Delahey",3.01058808521495,2.81923714759536
"Keilor Downs",3.03585657370518,3.2191235059761
"Kings Park (Vic.)",2.9228855721393,3.07058457711443
"St Albans - North",4.42439630489979,4.30014585921884
"St Albans - South",4.49288256227758,4.23233350279614
"Sunshine",2.72037361354349,2.49854057209574
"Sunshine North",4.59484346224678,4.15285451197053
"Sunshine West",4.38060426066594,4.08361414129876
"Sydenham",4.46388312742357,4.49995491027144
"Taylors Lakes",3.24346842825686,3.1065881092662
"Altona",4.14520684499086,3.2231267652434
"Altona Meadows",3.88021698217646,3.73076497287723
"Altona North",2.69023226714632,2.11933995464143
"Newport",3.39400492581246,2.31873610860816
"Seabrook",1.55201342281879,1.21644295302013
"Williamstown",3.07414104882459,2.23953261927945
"Braybrook",5.11377103579047,4.6100971794264
"Footscray",5.98527982224691,2.88154422996806
"Maribyrnong",4.28634555899249,3.41140079540433
"Seddon - Kingsville",3.80731282646547,1.72954149738828
"West Footscray - Tottenham",4.54929181127474,2.78585498546103
"Yarraville",4.12178658624156,2.67844319977021
"Bacchus Marsh",3.25591149792901,3.09337807371677
"Hillside",2.74614869390489,2.63795146581483
"Melton",3.41130604288499,3.29664029354432
"Melton South",2.9081021292285,2.83436261406581
"Melton West",3.13637466634312,3.23950497452075
"Rockbank - Mount Cottrell",0.77269800386349,0.708306503541533
"Taylors Hill",2.13923914214894,2.12307360706973
"Burnside",1.77408488659331,2.06602290590613
"Burnside Heights",3.05541170378042,2.98636285171759
"Caroline Springs",2.70915067331142,2.62432403774785
"Hoppers Crossing - North",3.02328147412557,2.95707823016661
"Hoppers Crossing - South",3.1209221400609,2.88168769030013
"Laverton",3.08068459657702,3.03178484107579
"Tarneit",2.77802995914662,2.67513996065971
"Truganina",3.740905890636,3.55315653602441
"Werribee - South",2.47674987763093,2.39843367596672
"Wyndham Vale",2.94050707815558,2.90409212981929
"Point Cook - East",4.82541840115538,4.40914110950641
"Point Cook - North",2.71918334161435,2.60174352951805
"Point Cook - South",2.25231749710313,2.22334878331402
"Werribee - East",3.79312224099406,3.66232492233909
"Werribee - West",3.51219512195122,3.39689578713969
"Carrum Downs",3.19761356499895,2.94117647058824
"Frankston",4.25605026753718,3.66697756614796
"Frankston North",4.4053868979685,4.1029445332116
"Frankston South",3.26386850601702,2.76489580275903
"Langwarrin",3.54271578761375,3.41461259828607
"Seaford (Vic.)",3.42868467992337,3.17103785426439
"Skye - Sandhurst",4.57485407793027,4.21202082347373
"Dromana",2.56670386527341,2.6275743126712
"Flinders",5.87611370386084,4.68816291896479
"Hastings - Somers",3.7728111543982,3.33196637277015
"Mornington",3.20804075450916,2.66648308779659
"Mount Eliza",3.2673860911271,2.47601918465228
"Mount Martha",3.52920723226704,2.96128882707464
"Point Nepean",4.41705529646902,3.60426382411725
"Rosebud - McCrae",3.59431745353557,3.263191625721
"Somerville",3.83493122134223,3.68605966771869
