"SA2","p-value
mu= 2","Equivalent
alpha=0.05
confidence=90%"
"Hughesdale","0.00028375822511402","1"
"Hurstbridge","1.56650146488641e-08","1"
"Ivanhoe","0.682618162145651","0"
"Ivanhoe East - Eaglemont","0.00122161326591657","1"
"Keilor","0.0970829943376519","0"
"Keilor Downs","0.442166338712988","0"
"Keilor East","0.93564658011165","0"
"Kensington (Vic.)","4.27541914992977e-08","1"
"Kew","0.693404612483755","0"
"Kew East","0.000136216498276909","1"
"Keysborough","0.904694441599019","0"
"Kilsyth","0.000197153464641349","1"
"Kinglake","5.34659741714465e-09","1"
"Kingsbury","0.123675752802554","0"
"Kings Park (Vic.)","0.201101728229587","0"
"Knoxfield - Scoresby","0.75917745259525","0"
"Koo Wee Rup","0.40970388788908","0"
"Lalor","0.956950252065484","0"
"Langwarrin","0.903216361554544","0"
"Laverton","6.80283059458172e-07","1"
"Lilydale - Coldstream","0.933663929780408","0"
"Lynbrook - Lyndhurst","0.0198757161447704","1"
"Lysterfield","0.000837369694881688","1"
"Macedon","3.18354630342043e-06","1"
"Malvern East","0.907955975941667","0"
"Malvern - Glen Iris","0.556685680506525","0"
"Maribyrnong","0.00158167059007251","1"
"Meadow Heights","0.522332802852007","0"
"Melbourne","7.83931639954104e-11","1"
"Melbourne Airport","5.62490373180178e-15","1"
"Melton","0.771210051012162","0"
"Melton South","0.58244686454152","0"
"Melton West","0.694708891217133","0"
"Mentone","0.526091437059275","0"
"Mernda","0.0319523525142378","1"
"Mickleham - Yuroke","2.00163355222846e-13","1"
"Mill Park - North","0.503507131237424","0"
"Mill Park - South","0.245734065965938","0"
"Mitcham (Vic.)","0.703386530342816","0"
"Monbulk - Silvan","0.162085666506709","0"
"Montmorency - Briar Hill","0.529241564502672","0"
"Montrose","8.52187250586059e-07","1"
"Moonee Ponds","0.431079968934756","0"
"Moorabbin - Heatherton","0.371964980726569","0"
"Mooroolbark","0.976401402942409","0"
"Mordialloc - Parkdale","0.593001050095841","0"
"Mornington","0.908584987357204","0"
"Mount Dandenong - Olinda","0.417671581619977","0"
"Mount Eliza","0.159440306652915","0"
"Mount Evelyn","0.211632358696674","0"
"Mount Martha","0.546380040274194","0"
"Mount Waverley - North","0.60698016122543","0"
"Mount Waverley - South","0.960506444220952","0"
"Mulgrave","0.453470180777478","0"
"Murrumbeena","0.0536598635714638","0"
"Narre Warren North","0.00389434576321626","1"
"Narre Warren - North East","0.588042748700547","0"
"Narre Warren South (East)","0.113963085171316","0"
"Narre Warren - South West","0.359220511990758","0"
"Narre Warren South (West)","0.0571284772123619","0"
"Newport","0.237939701876675","0"
"Niddrie - Essendon West","0.00120653670843339","1"
"Noble Park - East","0.577241734722763","0"
"Noble Park North","0.00775344350286594","1"
"Noble Park - West","0.917780658185435","0"
"Northcote","0.244373634891104","0"
"North Melbourne","1.56318910024852e-07","1"
"Nunawading","0.448607963576477","0"
"Oakleigh - Huntingdale","0.966468229184662","0"
"Ormond - Glen Huntly","0.352622753480133","0"
"Pakenham - North","0.648217097077878","0"
"Pakenham - South","0.988952526666906","0"
"Panton Hill - St Andrews","0.0375209817267097","1"
"Parkville","8.38765213699191e-10","1"
"Pascoe Vale","0.877817773378918","0"
"Pascoe Vale South","0.165680791020156","0"
"Pearcedale - Tooradin","0.000372198460925717","1"
"Plenty - Yarrambat","0.0540086257178007","0"
"Point Cook - East","0.0416700475640731","1"
"Point Cook - North","0.107817707514975","0"
"Point Cook - South","4.64122995921464e-05","1"
"Point Nepean","0.824262648153528","0"
"Port Melbourne","0.193986269219085","0"
"Port Melbourne Industrial","2.06324132377795e-21","1"
"Prahran - Windsor","3.19077810596046e-05","1"
"Preston - East","0.869550414780708","0"
"Preston - West","0.286077025384738","0"
"Research - North Warrandyte","0.00506754413782527","1"
"Reservoir - East","0.910757302909001","0"
"Reservoir - West","0.968131588690825","0"
"Richmond (Vic.)","0.00909652690939314","1"
"Riddells Creek","2.80103702509986e-05","1"
"Ringwood","0.885669827208112","0"
"Ringwood East","0.96704977339723","0"
"Ringwood North","0.0526987718881367","0"
"Rockbank - Mount Cottrell","1.95312508048728e-18","1"
"Romsey","0.257820896395729","0"
"Rosebud - McCrae","0.950943837684692","0"
"Rowville - Central","0.664769480215344","0"
"Rowville - North","0.0125584519366856","1"
"Rowville - South","0.206596063682728","0"
"Roxburgh Park - Somerton","0.524154943218202","0"
"Sandringham - Black Rock","0.413024159772606","0"
"Seabrook","1.47630860096266e-09","1"
"Seaford (Vic.)","0.740209295662655","0"
"Seddon - Kingsville","3.82378343389846e-06","1"
"Skye - Sandhurst","0.705726245960271","0"
"Somerville","0.8978786144916","0"
"Southbank","2.95103357334103e-09","1"
"South Melbourne","1.62631507305451e-06","1"
"South Morang (North)","0.0199215038206747","1"
"South Morang (South)","0.463822492930369","0"
"South Yarra - East","2.38399270478466e-05","1"
"South Yarra - West","1.45069890346659e-12","1"
"Springvale","0.950205681442568","0"
"Springvale South","0.610988375253339","0"
"St Albans - North","0.978127565946098","0"
"St Albans - South","0.400028166466148","0"
"St Kilda","3.16255837703559e-05","1"
"St Kilda East","1.11508785093427e-09","1"
"Strathmore","0.0522190225755786","0"
"Sunbury","0.223944296385254","0"
"Sunbury - South","0.972257941714002","0"
"Sunshine","0.000216980954007951","1"
"Sunshine North","0.122136932962276","0"
"Sunshine West","0.918645951828442","0"
"Surrey Hills (East) - Mont Albert","0.0533128059629668","0"
"Surrey Hills (West) - Canterbury","0.628238845994716","0"
"Sydenham","0.220662642704173","0"
"Tarneit","0.330293431496792","0"
"Taylors Hill","0.0519640379301483","0"
"Taylors Lakes","0.251648774997963","0"
"Templestowe","0.70271160679296","0"
"Templestowe Lower","0.775638983315038","0"
"The Basin","4.78880042656576e-05","1"
"Thomastown","0.743241523558485","0"
"Thornbury","0.495616202412387","0"
"Toorak","0.348914095243615","0"
"Truganina","0.0659988164796035","0"
"Tullamarine","0.00121785617153541","1"
"Upwey - Tecoma","0.000209899163275984","1"
"Vermont","0.0325983315276358","1"
"Vermont South","0.506631262848064","0"
"Viewbank - Yallambie","0.852647782584582","0"
"Wallan","0.530381267755889","0"
"Wandin - Seville","0.00312395701703287","1"
"Wantirna","0.581451359417222","0"
"Wantirna South","0.961698087267822","0"
"Warrandyte - Wonga Park","0.210939336037675","0"
"Watsonia","0.014288020924444","1"
"Wattle Glen - Diamond Creek","0.12839034107952","0"
"Werribee - East","0.727916214833301","0"
"Werribee - South","0.0175482908353984","1"
"Werribee - West","0.270263587910989","0"
"West Footscray - Tottenham","0.0287878643791684","1"
"Wheelers Hill","0.832938937676671","0"
"Whittlesea","0.0600540668297644","0"
"Williamstown","0.369468199096926","0"
"Wollert","2.64688864386678e-05","1"
"Wyndham Vale","0.389536838432876","0"
"Yarra - North","0.000289190634157358","1"
"Yarra Valley","0.87740540816338","0"
"Yarraville","0.567061336999304","0"
