SA2,p-value
South Morang (South),NA,NA
South Yarra - East,NA,NA
South Yarra - West,NA,NA
Southbank,NA,NA
Springvale,NA,NA
Springvale South,NA,NA
St Albans - North,NA,NA
St Albans - South,NA,NA
St Kilda,NA,NA
St Kilda East,NA,NA
Strathmore,NA,NA
Sunbury,NA,NA
Sunbury - South,NA,NA
Sunshine,NA,NA
Sunshine North,NA,NA
Sunshine West,NA,NA
Surrey Hills (East) - Mont Albert,NA,NA
Surrey Hills (West) - Canterbury,NA,NA
Sydenham,NA,NA
Tarneit,NA,NA
Taylors Hill,NA,NA
Taylors Lakes,NA,NA
Templestowe,NA,NA
Templestowe Lower,NA,NA
The Basin,NA,NA
Thomastown,NA,NA
Thornbury,NA,NA
Toorak,NA,NA
Truganina,NA,NA
Tullamarine,NA,NA
Upwey - Tecoma,NA,NA
Vermont,NA,NA
Vermont South,NA,NA
Viewbank - Yallambie,NA,NA
Wallan,NA,NA
Wandin - Seville,NA,NA
Wantirna,NA,NA
Wantirna South,NA,NA
Warrandyte - Wonga Park,NA,NA
Watsonia,NA,NA
Wattle Glen - Diamond Creek,NA,NA
Werribee - East,NA,NA
Werribee - South,NA,NA
Werribee - West,NA,NA
West Footscray - Tottenham,NA,NA
Wheelers Hill,NA,NA
Whittlesea,NA,NA
Williamstown,NA,NA
Wollert,NA,NA
Wyndham Vale,NA,NA
Yarra - North,NA,NA
Yarra Valley,NA,NA
Yarraville,NA,NA
