"SA2","p-value
mu= 2","Equivalent
alpha=0.05
confidence=90%"
"Edithvale - Aspendale","0.7109375","0"
"Elsternwick","0.65625","0"
"Eltham","0.765625","0"
"Elwood","0.65625","0"
"Emerald - Cockatoo","0.765625","0"
"Endeavour Hills - North","0.7109375","0"
"Endeavour Hills - South","0.765625","0"
"Epping - East","0.7109375","0"
"Epping - South","0.7109375","0"
"Epping - West","0.53125","0"
"Essendon - Aberfeldie","0.65625","0"
"Fawkner","0.59375","0"
"Ferntree Gully (North)","0.65625","0"
"Ferntree Gully (South) - Upper Ferntree Gully","0.65625","0"
"Fitzroy","0.765625","0"
"Fitzroy North","0.7109375","0"
"Flemington","0.7109375","0"
"Flemington Racecourse","0.533736835192476","0"
"Flinders","0.765625","0"
"Footscray","0.8125","0"
"Forest Hill","0.7109375","0"
"Frankston","0.765625","0"
"Frankston North","0.765625","0"
"Frankston South","0.7109375","0"
"Gisborne","0.7109375","0"
"Gladstone Park - Westmeadows","0.7109375","0"
"Glen Iris - East","0.765625","0"
"Glenroy","0.65625","0"
"Glen Waverley - East","0.7109375","0"
"Glen Waverley - West","0.8125","0"
"Gowanbrae","0.65625","0"
"Greensborough","0.7109375","0"
"Greenvale - Bulla","0.65625","0"
"Hadfield","0.765625","0"
"Hallam","0.65625","0"
"Hampton","0.765625","0"
"Hampton Park - Lynbrook","0.7109375","0"
"Hastings - Somers","0.765625","0"
"Hawthorn","0.7109375","0"
"Hawthorn East","0.7109375","0"
"Healesville - Yarra Glen","0.7109375","0"
"Heidelberg - Rosanna","0.65625","0"
"Heidelberg West","0.59375","0"
"Hillside","0.7109375","0"
"Hoppers Crossing - North","0.7109375","0"
"Hoppers Crossing - South","0.65625","0"
"Hughesdale","0.65625","0"
"Hurstbridge","0.7109375","0"
"Ivanhoe","0.65625","0"
"Ivanhoe East - Eaglemont","0.765625","0"
"Keilor","0.65625","0"
"Keilor Downs","0.8125","0"
"Keilor East","0.65625","0"
"Kensington (Vic.)","0.765625","0"
"Kew","0.65625","0"
"Kew East","0.7109375","0"
"Keysborough","0.65625","0"
"Kilsyth","0.65625","0"
"Kinglake","0.765625","0"
"Kingsbury","0.8515625","0"
"Kings Park (Vic.)","0.765625","0"
"Knoxfield - Scoresby","0.65625","0"
"Koo Wee Rup","0.7109375","0"
"Lalor","0.65625","0"
"Langwarrin","0.7109375","0"
"Laverton","0.59375","0"
"Lilydale - Coldstream","0.65625","0"
"Lynbrook - Lyndhurst","0.7109375","0"
"Lysterfield","0.8125","0"
"Macedon","0.7109375","0"
"Malvern East","0.765625","0"
"Malvern - Glen Iris","0.65625","0"
"Maribyrnong","0.765625","0"
"Meadow Heights","0.7109375","0"
"Melbourne","0.59375","0"
"Melbourne Airport","0.926070595801285","0"
"Melton","0.765625","0"
"Melton South","0.65625","0"
"Melton West","0.59375","0"
"Mentone","0.65625","0"
"Mernda","0.53125","0"
"Mickleham - Yuroke","0.59375","0"
"Mill Park - North","0.65625","0"
"Mill Park - South","0.7109375","0"
"Mitcham (Vic.)","0.65625","0"
"Monbulk - Silvan","0.765625","0"
"Montmorency - Briar Hill","0.7109375","0"
"Montrose","0.7109375","0"
"Moonee Ponds","0.7109375","0"
"Moorabbin - Heatherton","0.7109375","0"
"Mooroolbark","0.65625","0"
"Mordialloc - Parkdale","0.7109375","0"
"Mornington","0.65625","0"
"Mount Dandenong - Olinda","0.765625","0"
"Mount Eliza","0.65625","0"
"Mount Evelyn","0.65625","0"
"Mount Martha","0.7109375","0"
"Mount Waverley - North","0.7109375","0"
"Mount Waverley - South","0.7109375","0"
"Mulgrave","0.65625","0"
"Murrumbeena","0.7109375","0"
"Narre Warren North","0.765625","0"
"Narre Warren - North East","0.7109375","0"
"Narre Warren South (East)","0.7109375","0"
"Narre Warren - South West","0.7109375","0"
"Narre Warren South (West)","0.765625","0"
"Newport","0.7109375","0"
"Niddrie - Essendon West","0.7109375","0"
"Noble Park - East","0.59375","0"
"Noble Park North","0.65625","0"
"Noble Park - West","0.765625","0"
"Northcote","0.7109375","0"
"North Melbourne","0.8515625","0"
"Nunawading","0.65625","0"
"Oakleigh - Huntingdale","0.765625","0"
"Ormond - Glen Huntly","0.65625","0"
"Pakenham - North","0.53125","0"
"Pakenham - South","0.59375","0"
"Panton Hill - St Andrews","0.765625","0"
"Parkville","0.890625","0"
"Pascoe Vale","0.59375","0"
"Pascoe Vale South","0.7109375","0"
"Pearcedale - Tooradin","0.765625","0"
"Plenty - Yarrambat","0.765625","0"
"Point Cook - East","0.7109375","0"
"Point Cook - North","0.65625","0"
"Point Cook - South","0.65625","0"
"Point Nepean","0.7109375","0"
"Port Melbourne","0.59375","0"
"Port Melbourne Industrial","0.0192530200879964","1"
"Prahran - Windsor","0.8125","0"
"Preston - East","0.7109375","0"
"Preston - West","0.7109375","0"
"Research - North Warrandyte","0.765625","0"
"Reservoir - East","0.65625","0"
"Reservoir - West","0.7109375","0"
"Richmond (Vic.)","0.7109375","0"
"Riddells Creek","0.7109375","0"
"Ringwood","0.59375","0"
"Ringwood East","0.7109375","0"
"Ringwood North","0.7109375","0"
"Rockbank - Mount Cottrell","0.7109375","0"
"Romsey","0.765625","0"
"Rosebud - McCrae","0.765625","0"
"Rowville - Central","0.65625","0"
"Rowville - North","0.7109375","0"
"Rowville - South","0.765625","0"
"Roxburgh Park - Somerton","0.8125","0"
"Sandringham - Black Rock","0.765625","0"
"Seabrook","0.65625","0"
"Seaford (Vic.)","0.65625","0"
"Seddon - Kingsville","0.59375","0"
"Skye - Sandhurst","0.7109375","0"
"Somerville","0.7109375","0"
"Southbank","0.890625","0"
"South Melbourne","0.65625","0"
"South Morang (North)","0.7109375","0"
"South Morang (South)","0.65625","0"
"South Yarra - East","0.890625","0"
"South Yarra - West","0.65625","0"
"Springvale","0.8125","0"
"Springvale South","0.65625","0"
"St Albans - North","0.7109375","0"
"St Albans - South","0.7109375","0"
"St Kilda","0.7109375","0"
"St Kilda East","0.7109375","0"
"Strathmore","0.765625","0"
"Sunbury","0.765625","0"
"Sunbury - South","0.65625","0"
"Sunshine","0.59375","0"
"Sunshine North","0.65625","0"
"Sunshine West","0.765625","0"
"Surrey Hills (East) - Mont Albert","0.7109375","0"
"Surrey Hills (West) - Canterbury","0.765625","0"
"Sydenham","0.7109375","0"
"Tarneit","0.59375","0"
"Taylors Hill","0.65625","0"
"Taylors Lakes","0.7109375","0"
"Templestowe","0.8125","0"
"Templestowe Lower","0.65625","0"
"The Basin","0.65625","0"
"Thomastown","0.765625","0"
"Thornbury","0.7109375","0"
"Toorak","0.8125","0"
"Truganina","0.59375","0"
"Tullamarine","0.694273506523248","0"
"Upwey - Tecoma","0.7109375","0"
"Vermont","0.65625","0"
"Vermont South","0.765625","0"
"Viewbank - Yallambie","0.7109375","0"
"Wallan","0.7109375","0"
"Wandin - Seville","0.765625","0"
"Wantirna","0.8125","0"
"Wantirna South","0.8125","0"
"Warrandyte - Wonga Park","0.765625","0"
"Watsonia","0.65625","0"
"Wattle Glen - Diamond Creek","0.7109375","0"
"Werribee - East","0.7109375","0"
"Werribee - South","0.65625","0"
"Werribee - West","0.7109375","0"
"West Footscray - Tottenham","0.59375","0"
"Wheelers Hill","0.7109375","0"
"Whittlesea","0.7109375","0"
"Williamstown","0.765625","0"
"Wollert","0.59375","0"
"Wyndham Vale","0.53125","0"
"Yarra - North","0.59375","0"
"Yarra Valley","0.765625","0"
"Yarraville","0.7109375","0"
