SA2,KLD
Heidelberg West,0
Hillside,0
Hoppers Crossing - North,0
Hoppers Crossing - South,0
Hughesdale,0
Hurstbridge,0
Ivanhoe,0
Ivanhoe East - Eaglemont,0
Keilor,0
Keilor Downs,0
Keilor East,0
Kensington,0
Kew,0
Kew East,0
Keysborough,0
Kilsyth,0
Kinglake,0
Kings Park (Vic.),0
Kingsbury,0
Knoxfield - Scoresby,0
Koo Wee Rup,0
Lalor,0
Langwarrin,0
Laverton,0
Lilydale - Coldstream,0
Lynbrook - Lyndhurst,0
Lysterfield,0
Macedon,0
Malvern - Glen Iris,0
Malvern East,0
Maribyrnong,0
Meadow Heights,0
Melbourne,0
Melbourne Airport,0
Melton,0
Melton South,0
Melton West,0
Mentone,0
Mill Park - North,0
Mill Park - South,0
Mitcham (Vic.),0
Monbulk - Silvan,0
Montmorency - Briar Hill,0
Montrose,0
Moonee Ponds,0
Moorabbin - Heatherton,0
Mooroolbark,0
Mordialloc - Parkdale,0
Mornington,0
Mount Dandenong - Olinda,0
Mount Eliza,0
Mount Evelyn,0
Mount Martha,0
Mount Waverley - North,0
Mount Waverley - South,0
Mulgrave,0
Murrumbeena,0
Narre Warren,0
Narre Warren North,0
Narre Warren South,0
Newport,0
Niddrie - Essendon West,0
Noble Park,0
Noble Park North,0
North Melbourne,0
Northcote,0
Nunawading,0
Oakleigh - Huntingdale,0
Ormond - Glen Huntly,0
Pakenham - North,0
Pakenham - South,0
Panton Hill - St Andrews,0
Parkville,0
Pascoe Vale,0
Pascoe Vale South,0
Pearcedale - Tooradin,0
Plenty - Yarrambat,0
Point Cook,0
Point Nepean,0
Port Melbourne,0
Port Melbourne Industrial,0
Prahran - Windsor,0
Preston,0
Research - North Warrandyte,0
Reservoir - East,0
Reservoir - West,0
Richmond (Vic.),0
Riddells Creek,0
Ringwood,0
Ringwood East,0
Ringwood North,0
Rockbank - Mount Cottrell,0
Romsey,0
Rosebud - McCrae,0
Rowville - Central,0
Rowville - North,0
Rowville - South,0
Roxburgh Park - Somerton,0
Sandringham - Black Rock,0
Seabrook,0
Seaford (Vic.),0
Seddon - Kingsville,0
Skye - Sandhurst,0
Somerville,0
South Melbourne,0
South Morang,0
South Yarra - East,0
South Yarra - West,0
Southbank,0
Springvale,0
Springvale South,0
St Albans - North,0
St Albans - South,0
St Kilda,0
St Kilda East,0
Strathmore,0
Sunbury,0
Sunbury - South,0
Sunshine,0
Sunshine North,0
Sunshine West,0
Surrey Hills (East) - Mont Albert,0
Surrey Hills (West) - Canterbury,0
Sydenham,0
Tarneit,0
Taylors Hill,0
Taylors Lakes,0
Templestowe,0
Templestowe Lower,0
Thomastown,0
Thornbury,0
Toorak,0
Truganina,0
Tullamarine,0
Upwey - Tecoma,0
Vermont,0
Vermont South,0
Viewbank - Yallambie,0
Wallan,0
Wandin - Seville,0
Wantirna,0
Wantirna South,0
Warrandyte - Wonga Park,0
Watsonia,0
Wattle Glen - Diamond Creek,0
Werribee,0
Werribee - South,0
West Footscray - Tottenham,0
Wheelers Hill,0
Whittlesea,0
Williamstown,0
Wyndham Vale,0
Yarra - North,0
Yarra Valley,0
Yarraville,0
