SA2,KLD
Chelsea Heights,0.000123178448985459
Cheltenham - Highett (East),0.000385705087351731
Cheltenham - Highett (West),0.000105934642341328
Chirnside Park,9.76214333480409e-05
Clarinda - Oakleigh South,2.01537362574864e-05
Clayton,6.24148394300954e-06
Clayton South,6.72986455504218e-06
Coburg,2.03786598985939e-05
Coburg North,0.000690766412376914
Collingwood,4.5171954921974e-06
Craigieburn - Mickleham,1.9978305289734e-05
Cranbourne,6.07750145343995e-05
Cranbourne East,1.0834592382617e-05
Cranbourne North,3.47674325275553e-06
Cranbourne South,2.41205680860169e-05
Cranbourne West,2.41255746183781e-05
Croydon,4.06221266047546e-05
Croydon Hills - Warranwood,0.000130368265086048
Dandenong,7.84822404929146e-06
Dandenong North,3.06941101807602e-05
Deer Park - Derrimut,1.7954731081611e-05
Delahey,5.17262273608863e-05
Dingley Village,0.000614397302489474
Docklands,3.87936916604588e-05
Doncaster,0.000278480613871583
Doncaster East,0.000390894325136094
Donvale - Park Orchards,0.000740720975676603
Doveton,9.63470030928288e-06
Dromana,0.00277091847496109
East Melbourne,6.15525615444895e-06
Edithvale - Aspendale,0.000145342227170362
Elsternwick,0.000646168806728842
Eltham,0.000172664350676337
Elwood,3.30047234745069e-05
Emerald - Cockatoo,0.000174348548903525
Endeavour Hills,4.33618706530402e-05
Epping,3.73960298242797e-05
Essendon - Aberfeldie,0.000190956335719061
Fawkner,0.00309647501977411
Ferntree Gully,2.27501515183738e-05
Fitzroy,8.76242107413425e-07
Fitzroy North,1.55222440180429e-06
Flemington,1.05536082830765e-05
Flemington Racecourse,0.00431595756273934
Flinders,0.0111660866832275
Footscray,1.20797348539454e-05
Forest Hill,0.000617953724965552
Frankston,2.43250441005751e-05
Frankston North,1.56327515768537e-05
Frankston South,0.00010111819662205
Gisborne,0.000160015864843089
Gladstone Park - Westmeadows,3.93500210280069e-05
Glen Iris - East,0.000445992185834558
Glen Waverley - East,0.000281490949686668
Glen Waverley - West,7.53497303561483e-05
Glenroy - Hadfield,0.000327822238837289
Greensborough,5.44754497865493e-05
Greenvale - Bulla,3.83504029441424e-05
Hallam,3.40928757326135e-06
Hampton,0.000315776479040425
Hampton Park - Lynbrook,1.98961505246997e-05
Hastings - Somers,4.98578509720486e-05
Hawthorn,1.51705247050138e-05
Hawthorn East,0.00023155718010569
Healesville - Yarra Glen,0.000477103186705484
Heidelberg - Rosanna,0.000154444278009741
Heidelberg West,1.78585676935135e-05
Hillside,4.68564427223003e-05
Hoppers Crossing - North,6.36476547320778e-05
Hoppers Crossing - South,1.75303352138441e-05
Hughesdale,3.07105298168069e-05
Hurstbridge,0.000313429165908892
Ivanhoe,9.82636425814266e-05
Ivanhoe East - Eaglemont,0.00219744970589084
Keilor,0.000352831443719352
Keilor Downs,3.80643221389456e-05
Keilor East,0.00117749635418696
Kensington,6.55902703443213e-05
Kew,0.000227962383561699
Kew East,0.00042601108088145
Keysborough,1.5715533355408e-05
Kilsyth,8.07670534854954e-05
Kinglake,0.000196159893826876
Kings Park (Vic.),1.34420652917719e-05
Kingsbury,7.16341059408618e-06
Knoxfield - Scoresby,9.37601119659262e-05
Koo Wee Rup,0.000347195462328639
Lalor,1.36957582685578e-05
Langwarrin,4.88527652169116e-05
Laverton,3.76123189138648e-05
Lilydale - Coldstream,3.45638853554444e-05
Lynbrook - Lyndhurst,2.08562712142287e-05
Lysterfield,2.83499547905692e-05
Macedon,0.00616517707610878
Malvern - Glen Iris,6.32821772136203e-05
Malvern East,0.000257013427637648
Maribyrnong,2.49218161173463e-05
Meadow Heights,6.2122212173883e-05
Melbourne,1.51780055999156e-05
Melbourne Airport,0.890704415293017
Melton,5.66402525904813e-05
Melton South,2.966788606309e-05
Melton West,2.8064563551734e-05
Mentone,0.00035346103875982
Mill Park - North,4.87493630626221e-05
Mill Park - South,7.55165088651174e-05
Mitcham (Vic.),0.000108558365235717
Monbulk - Silvan,0.00024642025262093
Montmorency - Briar Hill,7.99141558149605e-05
Montrose,5.9233310673054e-05
Moonee Ponds,2.68994282228516e-05
Moorabbin - Heatherton,5.19634558415874e-05
Mooroolbark,6.33533186653994e-05
Mordialloc - Parkdale,8.95778931752972e-05
Mornington,0.000264716833700397
Mount Dandenong - Olinda,0.00203044846720922
Mount Eliza,0.00346407117257304
Mount Evelyn,3.11111822799439e-05
Mount Martha,0.00120644051987313
Mount Waverley - North,0.00021141361016015
Mount Waverley - South,0.000235352842132723
Mulgrave,3.25476199241179e-05
Murrumbeena,2.38771434243837e-05
Narre Warren,1.48514323737577e-05
Narre Warren North,0.000157348772963074
Narre Warren South,1.86342315538894e-05
Newport,1.36574544670492e-05
Niddrie - Essendon West,0.000661108084517904
Noble Park,3.54867923676532e-06
Noble Park North,1.23450547803444e-05
North Melbourne,5.09819361542789e-06
Northcote,3.05922977270639e-05
Nunawading,3.13988604684409e-05
Oakleigh - Huntingdale,2.33354270216781e-05
Ormond - Glen Huntly,5.42337829526526e-06
Pakenham - North,6.42902812887427e-06
Pakenham - South,1.49035365444296e-05
Panton Hill - St Andrews,0.00195260555669122
Parkville,2.92102822177351e-05
Pascoe Vale,0.000304969785156775
Pascoe Vale South,0.000241530385463761
Pearcedale - Tooradin,3.59032898628555e-05
Plenty - Yarrambat,2.57326921922789e-05
Point Cook,2.74417607126881e-05
Point Nepean,0.00270037335667441
Port Melbourne,2.91799402356659e-05
Port Melbourne Industrial,1.94589578213716
Prahran - Windsor,5.82825147830621e-05
Preston,1.82393536576751e-05
Research - North Warrandyte,0.00133587415645968
Reservoir - East,8.18636788223063e-07
Reservoir - West,7.38394034715976e-05
Richmond (Vic.),1.49762046349078e-05
Riddells Creek,0.00024470983503962
Ringwood,1.7215883264481e-05
Ringwood East,0.000128832872827498
Ringwood North,0.000287927920710675
Rockbank - Mount Cottrell,8.77696909377747e-05
Romsey,0.000496929968630157
Rosebud - McCrae,0.00055381424319078
Rowville - Central,2.95855739824126e-05
Rowville - North,6.51904662543158e-05
Rowville - South,7.19051247265335e-05
Roxburgh Park - Somerton,7.4811211947946e-05
Sandringham - Black Rock,0.00175173137078038
Seabrook,2.40867112496536e-05
Seaford (Vic.),7.51958167642651e-06
Seddon - Kingsville,4.338551601446e-06
Skye - Sandhurst,4.58452449005003e-05
Somerville,3.79265070939095e-05
South Melbourne,2.81121419916324e-05
South Morang,3.62372812341539e-05
South Yarra - East,7.46697823447995e-05
South Yarra - West,4.45059943268463e-05
Southbank,5.84627861819316e-06
Springvale,2.81341166680191e-06
Springvale South,1.04809300498689e-05
St Albans - North,2.59372129721232e-06
St Albans - South,1.83444335444801e-05
St Kilda,8.42594579504988e-05
St Kilda East,2.11047693909445e-05
Strathmore,0.000631353658228763
Sunbury,3.27285200482129e-05
Sunbury - South,1.22567471887269e-05
Sunshine,2.68797226143783e-06
Sunshine North,9.25845739240342e-06
Sunshine West,6.42125142234851e-05
Surrey Hills (East) - Mont Albert,8.3506789035803e-05
Surrey Hills (West) - Canterbury,0.00067295812471367
Sydenham,1.92625795962068e-05
Tarneit,4.62254970348371e-05
Taylors Hill,1.35851135087588e-05
Taylors Lakes,2.26918800732825e-05
Templestowe,0.000448864636746922
Templestowe Lower,0.000511906719422449
Thomastown,1.51250640997123e-05
Thornbury,3.23454596814994e-05
Toorak,0.000337302609925133
Truganina,3.32309254947534e-06
Tullamarine,1.82713366756749e-05
Upwey - Tecoma,6.14425059416465e-05
Vermont,0.000765216576220986
Vermont South,0.00230150385407181
Viewbank - Yallambie,0.00031543596861746
Wallan,6.78866491877394e-05
Wandin - Seville,0.000186162983337872
Wantirna,8.00610732565679e-05
Wantirna South,6.69763623208493e-05
Warrandyte - Wonga Park,0.000367501892112459
Watsonia,0.000244260018824385
Wattle Glen - Diamond Creek,5.51642968171808e-05
Werribee,3.43529135024697e-05
Werribee - South,7.00642618160354e-05
West Footscray - Tottenham,1.68765149821662e-05
Wheelers Hill,0.0015175441643453
Whittlesea,0.000380061933096954
Williamstown,0.000293531507730231
Wyndham Vale,1.43255085405434e-05
Yarra - North,1.77759466865753e-05
Yarra Valley,2.387129457574e-05
Yarraville,8.53765988360515e-06
