SA2,JSD
Fawkner,0.00109677010134156
Ferntree Gully,8.2079977009499e-06
Fitzroy,3.16065647370733e-07
Fitzroy North,5.59756064063752e-07
Flemington,3.80883873560734e-06
Flemington Racecourse,0.00157810775569923
Flinders,0.00401385074722732
Footscray,4.35363554556113e-06
Forest Hill,0.000221119949295369
Frankston,8.77944685716574e-06
Frankston North,5.64267537581139e-06
Frankston South,3.64846456230752e-05
Gisborne,5.78534838210764e-05
Gladstone Park - Westmeadows,1.42048559710888e-05
Glen Iris - East,0.000160896707776439
Glen Waverley - East,0.000101062455509943
Glen Waverley - West,2.71186450829059e-05
Glenroy - Hadfield,0.000117533617487701
Greensborough,1.96690491878549e-05
Greenvale - Bulla,1.38542690972533e-05
Hallam,1.2298140986821e-06
Hampton,0.000113921591420297
Hampton Park - Lynbrook,7.18295436633108e-06
Hastings - Somers,1.80202891639964e-05
Hawthorn,5.47056197520805e-06
Hawthorn East,8.33662788306648e-05
Healesville - Yarra Glen,0.000172244125800518
Heidelberg - Rosanna,5.55674148945656e-05
Heidelberg West,6.4401811018505e-06
Hillside,1.711368675341e-05
Hoppers Crossing - North,2.30476132610311e-05
Hoppers Crossing - South,6.34670694075814e-06
Hughesdale,1.10804689233803e-05
Hurstbridge,0.000114681000619283
Ivanhoe,3.53947097909504e-05
Ivanhoe East - Eaglemont,0.000787645389416038
Keilor,0.000127241519912351
Keilor Downs,1.3724418296854e-05
Keilor East,0.000420173408892825
Kensington,2.37159102230897e-05
Kew,8.21295328395848e-05
Kew East,0.000153500547777838
Keysborough,5.6771230742474e-06
Kilsyth,2.9129227026635e-05
Kinglake,7.07781148678486e-05
Kings Park (Vic.),4.84976137984279e-06
Kingsbury,2.58683932701447e-06
Knoxfield - Scoresby,3.37838954427249e-05
Koo Wee Rup,0.000125099052922329
Lalor,4.94925931114441e-06
Langwarrin,1.76934195398738e-05
Laverton,1.35334045895178e-05
Lilydale - Coldstream,1.24818379084533e-05
Lynbrook - Lyndhurst,7.55092151542727e-06
Lysterfield,1.0230435255917e-05
Macedon,0.00225319193311039
Malvern - Glen Iris,2.28409805879657e-05
Malvern East,9.26381732580047e-05
Maribyrnong,8.99932733956473e-06
Meadow Heights,2.31058414935091e-05
Melbourne,5.48085429649239e-06
Melbourne Airport,0.0490252487930728
Melton,2.07487407169981e-05
Melton South,1.07351160184647e-05
Melton West,1.01451110309204e-05
Mentone,0.000126771487016143
Mill Park - North,1.76363953586566e-05
Mill Park - South,2.73153714645624e-05
Mitcham (Vic.),3.90798086323022e-05
Monbulk - Silvan,8.91248112177888e-05
Montmorency - Briar Hill,2.88330462421477e-05
Montrose,2.13936963239665e-05
Moonee Ponds,9.70515108845494e-06
Moorabbin - Heatherton,1.87521227982206e-05
Mooroolbark,2.29752661567758e-05
Mordialloc - Parkdale,3.22813612957625e-05
Mornington,9.5667793382681e-05
Mount Dandenong - Olinda,0.000733783294808274
Mount Eliza,0.00124775626060582
Mount Evelyn,1.12206506875642e-05
Mount Martha,0.000438144231475604
Mount Waverley - North,7.60941916098283e-05
Mount Waverley - South,8.46044488673047e-05
Mulgrave,1.17476334533657e-05
Murrumbeena,8.6102851980306e-06
Narre Warren,5.36717436790484e-06
Narre Warren North,5.66873957559407e-05
Narre Warren South,6.79768899108848e-06
Newport,4.9316565666184e-06
Niddrie - Essendon West,0.000236503805049973
Noble Park,1.28025336471846e-06
Noble Park North,4.46055607530274e-06
North Melbourne,1.8405940435578e-06
Northcote,1.10293754852912e-05
Nunawading,1.13202102852931e-05
Oakleigh - Huntingdale,8.40891265041629e-06
Ormond - Glen Huntly,1.95634319353664e-06
Pakenham - North,2.32385849352861e-06
Pakenham - South,5.37899341591388e-06
Panton Hill - St Andrews,0.000703925547855617
Parkville,1.05596785522165e-05
Pascoe Vale,0.000109280033800868
Pascoe Vale South,8.68280690315298e-05
Pearcedale - Tooradin,1.2990670182215e-05
Plenty - Yarrambat,9.31407114212497e-06
Point Cook,1.00827295866599e-05
Point Nepean,0.000968883092478057
Port Melbourne,1.05553191664128e-05
Port Melbourne Industrial,0.5
Prahran - Windsor,2.11216591538051e-05
Preston,6.57909131772949e-06
Research - North Warrandyte,0.000482363337765043
Reservoir - East,2.95217825560589e-07
Reservoir - West,2.65661384955022e-05
Richmond (Vic.),5.41212133129483e-06
Riddells Creek,8.85726685011217e-05
Ringwood,6.21159467808553e-06
Ringwood East,4.6334649122438e-05
Ringwood North,0.000104076033578185
Rockbank - Mount Cottrell,3.15339583775972e-05
Romsey,0.000178647533028144
Rosebud - McCrae,0.000198989749430213
Rowville - Central,1.0672259860095e-05
Rowville - North,2.35244786356058e-05
Rowville - South,2.59551651196708e-05
Roxburgh Park - Somerton,2.80631086553431e-05
Sandringham - Black Rock,0.000632717879384334
Seabrook,8.69124735075312e-06
Seaford (Vic.),2.71187555017321e-06
Seddon - Kingsville,1.56437429729627e-06
Skye - Sandhurst,1.65430114275642e-05
Somerville,1.36877976442253e-05
South Melbourne,1.01562281488379e-05
South Morang,1.31017916303396e-05
South Yarra - East,2.7079240089875e-05
South Yarra - West,1.60838224292587e-05
Southbank,2.11357743747065e-06
Springvale,1.01460851941306e-06
Springvale South,3.78087850691597e-06
St Albans - North,9.36022499343337e-07
St Albans - South,6.6221232078303e-06
St Kilda,3.0588990905767e-05
St Kilda East,7.6160256127089e-06
Strathmore,0.000226951984943006
Sunbury,1.18119029126985e-05
Sunbury - South,4.42337084151882e-06
Sunshine,9.68847979811676e-07
Sunshine North,3.34172216132712e-06
Sunshine West,2.34511753964091e-05
Surrey Hills (East) - Mont Albert,3.01017396402399e-05
Surrey Hills (West) - Canterbury,0.000242122816190197
Sydenham,6.95468852248446e-06
Tarneit,1.67467381283275e-05
Taylors Hill,4.96127741330218e-06
Taylors Lakes,8.18486221582228e-06
Templestowe,0.000161636014799369
Templestowe Lower,0.000183780890616741
Thomastown,5.45659617122026e-06
Thornbury,1.16760993305302e-05
Toorak,0.000122033599938304
Truganina,1.19885263993457e-06
Tullamarine,6.5930710059464e-06
Upwey - Tecoma,2.21627138566611e-05
Vermont,0.00027412225229994
Vermont South,0.000820940417335159
Viewbank - Yallambie,0.000113415774966049
Wallan,2.45105184978219e-05
Wandin - Seville,6.69409762151132e-05
Wantirna,2.89086530942406e-05
Wantirna South,2.42029380130486e-05
Warrandyte - Wonga Park,0.000133289009128163
Watsonia,8.7815066023021e-05
Wattle Glen - Diamond Creek,1.99117055588421e-05
Werribee,1.24810016579599e-05
Werribee - South,2.53279296729472e-05
West Footscray - Tottenham,6.08754998969268e-06
Wheelers Hill,0.000542872659095677
Whittlesea,0.000136815907825633
Williamstown,0.000105809073621792
Wyndham Vale,5.16854900601009e-06
Yarra - North,6.41961664291839e-06
Yarra Valley,8.62058595862936e-06
Yarraville,3.07830256055642e-06
