,SA2,Cosine similarity
265,Wantirna South,1
266,Warrandyte - Wonga Park,1
267,Watsonia,1
268,Wattle Glen - Diamond Creek,1
269,Werribee,1
270,Werribee - South,1
271,West Footscray - Tottenham,1
272,Wheelers Hill,1
273,Whittlesea,1
274,Williamstown,1
275,Wyndham Vale,1
276,Yarra - North,1
277,Yarra Valley,1
278,Yarraville,1
