V1;V2;V3;V4;V5
0;17173;0;17173;0
0;8261;0;8261;0
0;24818;0;24818;0
0;6563;0;6563;0
0;27964;0;27964;0
0;15268;0;15268;0
0;6069;0;6069;0
0;26632;0;26632;0
0;7073;0;7073;0
0;12911;0;12911;0
0;21786;0;21786;0
0;10242;0;10242;0
0;19103;0;19103;0
0;11806;0;11806;0
0;12029;0;12029;0
0;20251;0;20251;0
0;4839;0;4839;0
0;3584;0;3584;0
0;19586;0;19586;0
0;9195;0;9195;0
0;7234;0;7234;0
0;8572;0;8572;0
0;31364;0;31364;0
0;13999;0;13999;0
0;13254;0;13254;0
0;0;0;0;0
0;15661;0;15661;0
0;27701;0;27701;0
0;6306;0;6306;0
0;22893;0;22893;0
0;21659;0;21659;0
0;23901;0;23901;0
0;3638;0;3638;0
0;15142;0;15142;0
0;17873;0;17873;0
0;8977;0;8977;0
0;1547;0;1547;0
0;8065;0;8065;0
0;17594;0;17594;0
0;14940;0;14940;0
0;7853;0;7853;0
0;10615;0;10615;0
0;19263;0;19263;0
0;14173;0;14173;0
0;4790;0;4790;0
0;14858;0;14858;0
0;7841;0;7841;0
0;10317;0;10317;0
0;16817;0;16817;0
0;8749;0;8749;0
0;36975;0;36975;0
0;13244;0;13244;0
0;5009;0;5009;0
0;9910;0;9910;0
0;18912;0;18912;0
0;11611;0;11611;0
0;17642;0;17642;0
0;14963;0;14963;0
0;19086;0;19086;0
0;14470;0;14470;0
0;8676;0;8676;0
0;12111;0;12111;0
0;22976;0;22976;0
0;8104;0;8104;0
0;9835;0;9835;0
0;15894;0;15894;0
0;9210;0;9210;0
0;15115;0;15115;0
0;10688;0;10688;0
0;20984;0;20984;0
0;15096;0;15096;0
0;17545;0;17545;0
0;15934;0;15934;0
0;12394;0;12394;0
0;19569;0;19569;0
0;16232;0;16232;0
0;11840;0;11840;0
0;9855;0;9855;0
0;5921;0;5921;0
0;9324;0;9324;0
0;9518;0;9518;0
0;10963;0;10963;0
0;16946;0;16946;0
0;11358;0;11358;0
0;7065;0;7065;0
0;13271;0;13271;0
0;16928;0;16928;0
0;9734;0;9734;0
0;8657;0;8657;0
0;12953;0;12953;0
0;27853;0;27853;0
0;9868;0;9868;0
0;9628;0;9628;0
0;18574;0;18574;0
0;6897;0;6897;0
0;14080;0;14080;0
0;16453;0;16453;0
0;7328;0;7328;0
0;14865;0;14865;0
0;13049;0;13049;0
