"Australian Bureau of Statistics",,,,
,,,,
,"LonePerson","Male","0-14 years",0
,,,"15-24 years",74
,,,"25-39 years",504
,,,"40-54 years",341
,,,"55-69 years",306
,,,"70-84 years",159
,,,"85-99 years",30
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",87
,,,"25-39 years",529
,,,"40-54 years",396
,,,"55-69 years",372
,,,"70-84 years",276
,,,"85-99 years",76
,,,"100 years and over",0
,"Relative","Male","0-14 years",0
,,,"15-24 years",105
,,,"25-39 years",115
,,,"40-54 years",24
,,,"55-69 years",13
,,,"70-84 years",12
,,,"85-99 years",5
,,,"100 years and over",0
,,"Female","0-14 years",3
,,,"15-24 years",85
,,,"25-39 years",110
,,,"40-54 years",38
,,,"55-69 years",37
,,,"70-84 years",39
,,,"85-99 years",16
,,,"100 years and over",0
"Brunswick East","Married","Male","0-14 years",0
,,,"15-24 years",63
,,,"25-39 years",1028
,,,"40-54 years",557
,,,"55-69 years",262
,,,"70-84 years",164
,,,"85-99 years",30
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",109
,,,"25-39 years",1096
,,,"40-54 years",504
,,,"55-69 years",255
,,,"70-84 years",141
,,,"85-99 years",8
,,,"100 years and over",0
,"LoneParent","Male","0-14 years",0
,,,"15-24 years",0
,,,"25-39 years",4
,,,"40-54 years",18
,,,"55-69 years",6
,,,"70-84 years",16
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",3
,,,"25-39 years",42
,,,"40-54 years",111
,,,"55-69 years",49
,,,"70-84 years",43
,,,"85-99 years",16
,,,"100 years and over",0
,"U15Child","Male","0-14 years",558
,,,"15-24 years",0
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",538
,,,"15-24 years",0
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,"Student","Male","0-14 years",0
,,,"15-24 years",126
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",143
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,"O15Child","Male","0-14 years",0
,,,"15-24 years",44
,,,"25-39 years",77
,,,"40-54 years",52
,,,"55-69 years",18
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",39
,,,"25-39 years",49
,,,"40-54 years",35
,,,"55-69 years",10
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,"GroupHhold","Male","0-14 years",0
,,,"15-24 years",223
,,,"25-39 years",520
,,,"40-54 years",56
,,,"55-69 years",22
,,,"70-84 years",9
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",313
,,,"25-39 years",521
,,,"40-54 years",55
,,,"55-69 years",26
,,,"70-84 years",3
,,,"85-99 years",0
,,,"100 years and over",0
,"LonePerson","Male","0-14 years",0
,,,"15-24 years",39
,,,"25-39 years",287
,,,"40-54 years",147
,,,"55-69 years",81
,,,"70-84 years",59
,,,"85-99 years",14
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",60
,,,"25-39 years",364
,,,"40-54 years",150
,,,"55-69 years",162
,,,"70-84 years",107
,,,"85-99 years",38
,,,"100 years and over",0
,"Relative","Male","0-14 years",0
,,,"15-24 years",36
,,,"25-39 years",44
,,,"40-54 years",7
,,,"55-69 years",13
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",45
,,,"25-39 years",63
,,,"40-54 years",13
,,,"55-69 years",15
,,,"70-84 years",11
,,,"85-99 years",6
,,,"100 years and over",0
"Brunswick West","Married","Male","0-14 years",0
,,,"15-24 years",55
,,,"25-39 years",1063
,,,"40-54 years",757
,,,"55-69 years",445
,,,"70-84 years",228
,,,"85-99 years",46
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",122
,,,"25-39 years",1144
,,,"40-54 years",716
,,,"55-69 years",430
,,,"70-84 years",185
,,,"85-99 years",26
,,,"100 years and over",0
,"LoneParent","Male","0-14 years",0
,,,"15-24 years",0
,,,"25-39 years",5
,,,"40-54 years",30
,,,"55-69 years",20
,,,"70-84 years",14
,,,"85-99 years",6
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",7
,,,"25-39 years",59
,,,"40-54 years",146
,,,"55-69 years",84
,,,"70-84 years",61
,,,"85-99 years",13
,,,"100 years and over",0
,"U15Child","Male","0-14 years",883
,,,"15-24 years",0
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",849
,,,"15-24 years",0
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,"Student","Male","0-14 years",0
,,,"15-24 years",222
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",201
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,"O15Child","Male","0-14 years",0
,,,"15-24 years",104
,,,"25-39 years",149
,,,"40-54 years",76
,,,"55-69 years",19
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",75
,,,"25-39 years",114
,,,"40-54 years",41
,,,"55-69 years",11
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,"GroupHhold","Male","0-14 years",0
,,,"15-24 years",238
,,,"25-39 years",418
,,,"40-54 years",45
,,,"55-69 years",32
,,,"70-84 years",10
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",338
,,,"25-39 years",411
,,,"40-54 years",31
,,,"55-69 years",19
,,,"70-84 years",11
,,,"85-99 years",0
,,,"100 years and over",0
,"LonePerson","Male","0-14 years",0
,,,"15-24 years",34
,,,"25-39 years",309
,,,"40-54 years",205
,,,"55-69 years",181
,,,"70-84 years",80
,,,"85-99 years",30
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",50
,,,"25-39 years",304
,,,"40-54 years",225
,,,"55-69 years",224
,,,"70-84 years",181
,,,"85-99 years",59
,,,"100 years and over",0
,"Relative","Male","0-14 years",3
,,,"15-24 years",36
,,,"25-39 years",72
,,,"40-54 years",9
,,,"55-69 years",9
,,,"70-84 years",14
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",49
,,,"25-39 years",55
,,,"40-54 years",28
,,,"55-69 years",19
,,,"70-84 years",20
,,,"85-99 years",15
,,,"100 years and over",0
"Coburg","Married","Male","0-14 years",0
,,,"15-24 years",77
,,,"25-39 years",1736
,,,"40-54 years",1752
,,,"55-69 years",1009
,,,"70-84 years",573
,,,"85-99 years",113
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",138
,,,"25-39 years",1975
,,,"40-54 years",1781
,,,"55-69 years",992
,,,"70-84 years",455
,,,"85-99 years",53
,,,"100 years and over",0
,"LoneParent","Male","0-14 years",0
,,,"15-24 years",0
,,,"25-39 years",11
,,,"40-54 years",50
,,,"55-69 years",41
,,,"70-84 years",32
,,,"85-99 years",12
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",9
,,,"25-39 years",93
,,,"40-54 years",289
,,,"55-69 years",186
,,,"70-84 years",120
,,,"85-99 years",45
,,,"100 years and over",0
,"U15Child","Male","0-14 years",1977
,,,"15-24 years",0
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",2015
,,,"15-24 years",0
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,"Student","Male","0-14 years",0
,,,"15-24 years",491
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",566
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,"O15Child","Male","0-14 years",0
,,,"15-24 years",311
,,,"25-39 years",402
,,,"40-54 years",169
,,,"55-69 years",56
,,,"70-84 years",8
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",219
,,,"25-39 years",295
,,,"40-54 years",116
,,,"55-69 years",36
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,"GroupHhold","Male","0-14 years",0
,,,"15-24 years",349
,,,"25-39 years",763
,,,"40-54 years",129
,,,"55-69 years",59
,,,"70-84 years",15
,,,"85-99 years",3
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",380
,,,"25-39 years",603
,,,"40-54 years",77
,,,"55-69 years",49
,,,"70-84 years",19
,,,"85-99 years",0
,,,"100 years and over",0
,"LonePerson","Male","0-14 years",0
,,,"15-24 years",36
,,,"25-39 years",243
,,,"40-54 years",265
,,,"55-69 years",222
,,,"70-84 years",129
,,,"85-99 years",42
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",42
,,,"25-39 years",263
,,,"40-54 years",271
,,,"55-69 years",327
,,,"70-84 years",299
,,,"85-99 years",143
,,,"100 years and over",0
,"Relative","Male","0-14 years",8
,,,"15-24 years",65
,,,"25-39 years",102
,,,"40-54 years",32
,,,"55-69 years",35
,,,"70-84 years",17
,,,"85-99 years",3
,,,"100 years and over",0
,,"Female","0-14 years",9
,,,"15-24 years",59
,,,"25-39 years",91
,,,"40-54 years",33
,,,"55-69 years",66
,,,"70-84 years",75
,,,"85-99 years",32
,,,"100 years and over",0
"Pascoe Vale South","Married","Male","0-14 years",0
,,,"15-24 years",12
,,,"25-39 years",544
,,,"40-54 years",881
,,,"55-69 years",446
,,,"70-84 years",206
,,,"85-99 years",60
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",26
,,,"25-39 years",650
,,,"40-54 years",858
,,,"55-69 years",436
,,,"70-84 years",173
,,,"85-99 years",23
,,,"100 years and over",0
,"LoneParent","Male","0-14 years",0
,,,"15-24 years",0
,,,"25-39 years",0
,,,"40-54 years",29
,,,"55-69 years",27
,,,"70-84 years",14
,,,"85-99 years",7
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",6
,,,"25-39 years",28
,,,"40-54 years",106
,,,"55-69 years",53
,,,"70-84 years",41
,,,"85-99 years",21
,,,"100 years and over",0
,"U15Child","Male","0-14 years",953
,,,"15-24 years",0
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",890
,,,"15-24 years",0
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,"Student","Male","0-14 years",0
,,,"15-24 years",332
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",322
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,"O15Child","Male","0-14 years",0
,,,"15-24 years",148
,,,"25-39 years",146
,,,"40-54 years",50
,,,"55-69 years",26
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",124
,,,"25-39 years",112
,,,"40-54 years",33
,,,"55-69 years",17
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,"GroupHhold","Male","0-14 years",0
,,,"15-24 years",34
,,,"25-39 years",66
,,,"40-54 years",20
,,,"55-69 years",13
,,,"70-84 years",5
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",35
,,,"25-39 years",47
,,,"40-54 years",14
,,,"55-69 years",14
,,,"70-84 years",8
,,,"85-99 years",0
,,,"100 years and over",0
,"LonePerson","Male","0-14 years",0
,,,"15-24 years",4
,,,"25-39 years",36
,,,"40-54 years",91
,,,"55-69 years",69
,,,"70-84 years",43
,,,"85-99 years",29
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",9
,,,"25-39 years",43
,,,"40-54 years",68
,,,"55-69 years",117
,,,"70-84 years",124
,,,"85-99 years",66
,,,"100 years and over",0
,"Relative","Male","0-14 years",3
,,,"15-24 years",32
,,,"25-39 years",29
,,,"40-54 years",19
,,,"55-69 years",7
,,,"70-84 years",6
,,,"85-99 years",6
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",20
,,,"25-39 years",17
,,,"40-54 years",12
,,,"55-69 years",31
,,,"70-84 years",23
,,,"85-99 years",14
,,,"100 years and over",0
"Alphington - Fairfield","Married","Male","0-14 years",0
,,,"15-24 years",25
,,,"25-39 years",549
,,,"40-54 years",637
,,,"55-69 years",424
,,,"70-84 years",163
,,,"85-99 years",24
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",46
,,,"25-39 years",625
,,,"40-54 years",698
,,,"55-69 years",369
,,,"70-84 years",132
,,,"85-99 years",8
,,,"100 years and over",0
,"LoneParent","Male","0-14 years",0
,,,"15-24 years",0
,,,"25-39 years",0
,,,"40-54 years",14
,,,"55-69 years",19
,,,"70-84 years",6
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",0
,,,"25-39 years",33
,,,"40-54 years",95
,,,"55-69 years",51
,,,"70-84 years",33
,,,"85-99 years",14
,,,"100 years and over",0
,"U15Child","Male","0-14 years",666
,,,"15-24 years",0
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",684
,,,"15-24 years",0
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,"Student","Male","0-14 years",0
,,,"15-24 years",252
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",248
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,"O15Child","Male","0-14 years",0
,,,"15-24 years",92
,,,"25-39 years",81
,,,"40-54 years",38
,,,"55-69 years",17
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",61
,,,"25-39 years",75
,,,"40-54 years",30
,,,"55-69 years",11
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,"GroupHhold","Male","0-14 years",0
,,,"15-24 years",100
,,,"25-39 years",158
,,,"40-54 years",30
,,,"55-69 years",19
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",117
,,,"25-39 years",147
,,,"40-54 years",26
,,,"55-69 years",18
,,,"70-84 years",8
,,,"85-99 years",0
,,,"100 years and over",0
,"LonePerson","Male","0-14 years",0
,,,"15-24 years",18
,,,"25-39 years",131
,,,"40-54 years",131
,,,"55-69 years",94
,,,"70-84 years",45
,,,"85-99 years",12
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",25
,,,"25-39 years",159
,,,"40-54 years",117
,,,"55-69 years",131
,,,"70-84 years",106
,,,"85-99 years",41
,,,"100 years and over",0
,"Relative","Male","0-14 years",0
,,,"15-24 years",16
,,,"25-39 years",26
,,,"40-54 years",9
,,,"55-69 years",4
,,,"70-84 years",6
,,,"85-99 years",4
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",20
,,,"25-39 years",18
,,,"40-54 years",11
,,,"55-69 years",19
,,,"70-84 years",17
,,,"85-99 years",6
,,,"100 years and over",0
"Northcote","Married","Male","0-14 years",0
,,,"15-24 years",46
,,,"25-39 years",1555
,,,"40-54 years",1740
,,,"55-69 years",884
,,,"70-84 years",454
,,,"85-99 years",81
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",95
,,,"25-39 years",1753
,,,"40-54 years",1870
,,,"55-69 years",833
,,,"70-84 years",368
,,,"85-99 years",35
,,,"100 years and over",0
,"LoneParent","Male","0-14 years",0
,,,"15-24 years",0
,,,"25-39 years",13
,,,"40-54 years",52
,,,"55-69 years",31
,,,"70-84 years",28
,,,"85-99 years",9
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",3
,,,"25-39 years",62
,,,"40-54 years",285
,,,"55-69 years",149
,,,"70-84 years",97
,,,"85-99 years",38
,,,"100 years and over",0
,"U15Child","Male","0-14 years",1893
,,,"15-24 years",0
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",1830
,,,"15-24 years",0
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,"Student","Male","0-14 years",0
,,,"15-24 years",534
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",523
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,"O15Child","Male","0-14 years",0
,,,"15-24 years",178
,,,"25-39 years",193
,,,"40-54 years",141
,,,"55-69 years",40
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",145
,,,"25-39 years",144
,,,"40-54 years",94
,,,"55-69 years",27
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,"GroupHhold","Male","0-14 years",0
,,,"15-24 years",185
,,,"25-39 years",687
,,,"40-54 years",114
,,,"55-69 years",61
,,,"70-84 years",14
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",329
,,,"25-39 years",873
,,,"40-54 years",92
,,,"55-69 years",53
,,,"70-84 years",10
,,,"85-99 years",0
,,,"100 years and over",0
,"LonePerson","Male","0-14 years",0
,,,"15-24 years",43
,,,"25-39 years",290
,,,"40-54 years",283
,,,"55-69 years",263
,,,"70-84 years",167
,,,"85-99 years",36
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",46
,,,"25-39 years",393
,,,"40-54 years",342
,,,"55-69 years",358
,,,"70-84 years",285
,,,"85-99 years",97
,,,"100 years and over",0
,"Relative","Male","0-14 years",4
,,,"15-24 years",50
,,,"25-39 years",75
,,,"40-54 years",16
,,,"55-69 years",21
,,,"70-84 years",13
,,,"85-99 years",8
,,,"100 years and over",0
,,"Female","0-14 years",6
,,,"15-24 years",61
,,,"25-39 years",105
,,,"40-54 years",40
,,,"55-69 years",27
,,,"70-84 years",43
,,,"85-99 years",22
,,,"100 years and over",0
"Thornbury","Married","Male","0-14 years",0
,,,"15-24 years",51
,,,"25-39 years",1287
,,,"40-54 years",1221
,,,"55-69 years",544
,,,"70-84 years",365
,,,"85-99 years",61
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",96
,,,"25-39 years",1489
,,,"40-54 years",1252
,,,"55-69 years",565
,,,"70-84 years",279
,,,"85-99 years",26
,,,"100 years and over",0
,"LoneParent","Male","0-14 years",0
,,,"15-24 years",0
,,,"25-39 years",6
,,,"40-54 years",38
,,,"55-69 years",36
,,,"70-84 years",19
,,,"85-99 years",3
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",0
,,,"25-39 years",82
,,,"40-54 years",202
,,,"55-69 years",94
,,,"70-84 years",66
,,,"85-99 years",32
,,,"100 years and over",0
,"U15Child","Male","0-14 years",1400
,,,"15-24 years",0
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",1367
,,,"15-24 years",0
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,"Student","Male","0-14 years",0
,,,"15-24 years",327
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",311
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,"O15Child","Male","0-14 years",0
,,,"15-24 years",145
,,,"25-39 years",176
,,,"40-54 years",96
,,,"55-69 years",31
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",101
,,,"25-39 years",139
,,,"40-54 years",53
,,,"55-69 years",25
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,"GroupHhold","Male","0-14 years",0
,,,"15-24 years",220
,,,"25-39 years",462
,,,"40-54 years",89
,,,"55-69 years",30
,,,"70-84 years",12
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",251
,,,"25-39 years",511
,,,"40-54 years",87
,,,"55-69 years",38
,,,"70-84 years",8
,,,"85-99 years",4
,,,"100 years and over",0
,"LonePerson","Male","0-14 years",0
,,,"15-24 years",26
,,,"25-39 years",262
,,,"40-54 years",282
,,,"55-69 years",234
,,,"70-84 years",111
,,,"85-99 years",37
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",47
,,,"25-39 years",384
,,,"40-54 years",303
,,,"55-69 years",287
,,,"70-84 years",252
,,,"85-99 years",90
,,,"100 years and over",0
,"Relative","Male","0-14 years",8
,,,"15-24 years",70
,,,"25-39 years",62
,,,"40-54 years",23
,,,"55-69 years",12
,,,"70-84 years",5
,,,"85-99 years",5
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",49
,,,"25-39 years",62
,,,"40-54 years",25
,,,"55-69 years",30
,,,"70-84 years",33
,,,"85-99 years",17
,,,"100 years and over",0
"Ascot Vale","Married","Male","0-14 years",0
,,,"15-24 years",45
,,,"25-39 years",1010
,,,"40-54 years",999
,,,"55-69 years",607
,,,"70-84 years",216
,,,"85-99 years",39
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",78
,,,"25-39 years",1178
,,,"40-54 years",967
,,,"55-69 years",541
,,,"70-84 years",175
,,,"85-99 years",17
,,,"100 years and over",0
,"LoneParent","Male","0-14 years",0
,,,"15-24 years",0
,,,"25-39 years",3
,,,"40-54 years",41
,,,"55-69 years",32
,,,"70-84 years",7
,,,"85-99 years",8
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",5
,,,"25-39 years",108
,,,"40-54 years",187
,,,"55-69 years",104
,,,"70-84 years",47
,,,"85-99 years",24
,,,"100 years and over",0
,"U15Child","Male","0-14 years",1260
,,,"15-24 years",0
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",1181
,,,"15-24 years",0
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,"Student","Male","0-14 years",0
,,,"15-24 years",346
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,,"Female","0-14 years",0
,,,"15-24 years",310
,,,"25-39 years",0
,,,"40-54 years",0
,,,"55-69 years",0
,,,"70-84 years",0
,,,"85-99 years",0
,,,"100 years and over",0
,"O15Child","Male","0-14 years",0
,,,"15-24 years",130
,,,"25-39 years",172
,,,"40-54 years",68
,,,"55-69 years",21
