,,"One family household: Other family",4,4,0,6,0,0,4,0,10,6,5,4,0,0,8,0,0,0,3,5,5,4,0,0,4,4,5,0,0,4,0,0,
,,"Two family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Lone person household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Group household",4,16,14,10,7,0,10,7,12,13,7,4,11,6,10,6,0,6,13,9,5,4,8,0,9,6,5,4,5,10,8,6,
,"Three persons","One family household: Couple family with no children",0,3,6,3,7,0,0,5,0,5,7,4,4,4,5,5,0,5,0,0,0,0,0,3,6,3,0,0,4,5,0,4,
,,"One family household: Couple family with children",16,16,14,14,15,0,19,13,12,9,13,16,21,20,6,20,6,15,34,17,22,15,17,10,12,14,13,21,11,18,5,24,
,,"One family household: One parent family",17,4,9,8,6,0,28,10,14,3,19,10,11,11,10,11,7,3,10,9,9,4,11,11,10,7,12,9,9,5,13,12,
,,"One family household: Other family",0,0,0,0,5,0,0,0,0,0,3,0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,4,0,0,7,0,4,
,,"Two family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Lone person household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Group household",0,3,0,5,5,0,0,0,0,4,7,6,5,0,0,0,0,4,5,0,0,0,5,0,0,6,6,0,5,5,0,3,
,"Four persons","One family household: Couple family with no children",3,0,0,0,0,0,0,3,0,0,0,3,0,0,0,3,0,4,0,3,3,3,0,0,0,0,3,0,0,0,0,0,
,,"One family household: Couple family with children",21,11,8,15,18,0,9,13,12,14,14,10,20,14,11,18,9,10,25,24,23,24,17,14,18,13,9,16,7,15,11,14,
,,"One family household: One parent family",6,4,6,7,3,0,9,0,6,9,8,0,5,3,4,9,0,0,0,0,3,0,3,5,6,5,14,3,0,0,5,3,
,,"One family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,
,,"Two family household: Couple family with no children",0,0,0,0,0,0,3,0,0,0,3,3,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,3,0,3,
,,"Two family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: One parent family",3,4,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,0,0,3,0,5,0,0,0,0,0,0,0,0,0,3,
,,"Two family household: Other family",0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Lone person household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Group household",0,0,0,0,0,0,6,0,0,0,0,0,0,7,0,0,3,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,
,"Five persons","One family household: Couple family with no children",0,0,0,0,3,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"One family household: Couple family with children",7,3,6,6,6,0,7,5,0,3,9,4,6,15,6,7,0,10,10,10,16,8,5,11,6,5,3,5,4,7,7,4,
,,"One family household: One parent family",6,0,5,0,6,0,0,0,0,0,5,0,7,0,4,5,0,0,0,0,0,0,0,0,0,0,0,4,0,0,7,3,
,,"One family household: Other family",0,0,0,3,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,
,,"Two family household: Couple family with children",3,0,0,5,0,0,0,0,0,0,3,0,0,0,3,5,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: One parent family",3,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Other family",0,0,0,0,3,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Lone person household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Group household",0,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,
,"Six persons","One family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"One family household: Couple family with children",7,5,3,3,4,0,4,5,5,8,4,0,4,5,5,7,0,0,4,0,0,3,3,0,0,4,0,4,0,0,3,4,
,,"One family household: One parent family",0,0,0,3,0,0,0,0,0,0,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,
,,"One family household: Other family",0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,
,,"Two family household: Couple family with children",3,0,0,0,0,0,0,0,3,0,0,0,0,0,3,3,0,0,3,3,3,0,0,0,0,0,0,3,0,0,0,0,
,,"Two family household: One parent family",3,0,0,0,0,0,0,0,0,0,0,3,6,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: One parent family",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Lone person household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Group household",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,"Seven persons","One family household: Couple family with no children",0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
,,"One family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,
,,"One family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"One family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: One parent family",0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,
,,"Three or more family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Lone person household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,
,,"Group household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,"Eight or more persons","One family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"One family household: Couple family with children",6,4,0,0,0,0,7,0,0,0,5,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,
,,"One family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"One family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Couple family with children",3,3,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Two family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with no children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Couple family with children",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: One parent family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Three or more family household: Other family",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Lone person household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
,,"Group household",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,

"Data Source: 2011 Census of Population and Housing"

"INFO","Cells in this table have been randomly adjusted to avoid the release of confidential data."


"14","HCFMD - In multiple family households, only the family composition of the primary family is recorded. Refer to Census Dictionary for more information."
"19","NPRD - Includes up to three residents who were temporarily absent from Household on Census Night."
"26","No reliance should be placed on small cells."
"27","For details on a classification and associated data quality information click on the blue i-links in the table."
"28","Cells in this table have been randomly adjusted to avoid the release of confidential data."


Table generated using ABS TableBuilder
"Copyright, Commonwealth of Australia"
