,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,"Northcote","One person","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",2520,
,,,"Group household",0,
,,"Two persons","One family household: Couple family with no children",1966,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",432,
,,,"One family household: Other family",119,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",513,
,,"Three persons","One family household: Couple family with no children",102,
,,,"One family household: Couple family with children",913,
,,,"One family household: One parent family",211,
,,,"One family household: Other family",35,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",286,
,,"Four persons","One family household: Couple family with no children",36,
,,,"One family household: Couple family with children",1152,
,,,"One family household: One parent family",60,
,,,"One family household: Other family",6,
,,,"Two family household: Couple family with no children",15,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",7,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",102,
,,"Five persons","One family household: Couple family with no children",7,
,,,"One family household: Couple family with children",377,
,,,"One family household: One parent family",18,
,,,"One family household: Other family",5,
,,,"Two family household: Couple family with no children",3,
,,,"Two family household: Couple family with children",9,
,,,"Two family household: One parent family",10,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",24,
,,"Six persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",71,
,,,"One family household: One parent family",5,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",15,
,,,"Two family household: One parent family",4,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",4,
,,"Seven persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",12,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",5,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",7,
,,"Eight or more persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",6,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",3,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,"Thornbury","One person","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",2250,
,,,"Group household",0,
,,"Two persons","One family household: Couple family with no children",1559,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",334,
,,,"One family household: Other family",96,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",361,
,,"Three persons","One family household: Couple family with no children",101,
,,,"One family household: Couple family with children",705,
,,,"One family household: One parent family",164,
,,,"One family household: Other family",21,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",160,
,,"Four persons","One family household: Couple family with no children",19,
,,,"One family household: Couple family with children",791,
,,,"One family household: One parent family",57,
,,,"One family household: Other family",9,
,,,"Two family household: Couple family with no children",12,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",12,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",68,
,,"Five persons","One family household: Couple family with no children",5,
,,,"One family household: Couple family with children",237,
,,,"One family household: One parent family",7,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",4,
,,,"Two family household: Couple family with children",6,
,,,"Two family household: One parent family",5,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",16,
,,"Six persons","One family household: Couple family with no children",3,
,,,"One family household: Couple family with children",57,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",13,
,,,"Two family household: One parent family",6,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",4,
,,"Seven persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",4,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",3,
,,,"Two family household: Couple family with children",7,
,,,"Two family household: One parent family",6,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,,"Eight or more persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",6,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",4,
,"Bundoora - East","One person","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",651,
,,,"Group household",0,
,,"Two persons","One family household: Couple family with no children",872,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",164,
,,,"One family household: Other family",37,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",78,
,,"Three persons","One family household: Couple family with no children",23,
,,,"One family household: Couple family with children",382,
,,,"One family household: One parent family",121,
,,,"One family household: Other family",12,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",62,
,,"Four persons","One family household: Couple family with no children",11,
,,,"One family household: Couple family with children",504,
,,,"One family household: One parent family",45,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",8,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",6,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",30,
,,"Five persons","One family household: Couple family with no children",4,
,,,"One family household: Couple family with children",202,
,,,"One family household: One parent family",17,
,,,"One family household: Other family",6,
,,,"Two family household: Couple family with no children",3,
,,,"Two family household: Couple family with children",4,
,,,"Two family household: One parent family",6,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",14,
,,"Six persons","One family household: Couple family with no children",3,
,,,"One family household: Couple family with children",44,
,,,"One family household: One parent family",4,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",19,
,,,"Two family household: One parent family",7,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",8,
,,"Seven persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",12,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",3,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,,"Eight or more persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",4,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,"Greensborough","One person","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",1423,
,,,"Group household",0,
,,"Two persons","One family household: Couple family with no children",1756,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",383,
,,,"One family household: Other family",58,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",105,
,,"Three persons","One family household: Couple family with no children",62,
,,,"One family household: Couple family with children",898,
,,,"One family household: One parent family",278,
,,,"One family household: Other family",13,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",20,
,,"Four persons","One family household: Couple family with no children",6,
,,,"One family household: Couple family with children",1331,
,,,"One family household: One parent family",90,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",23,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",11,
,,,"Two family household: Other family",3,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",5,
,,"Five persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",479,
,,,"One family household: One parent family",35,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",14,
,,,"Two family household: One parent family",8,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",4,
,,"Six persons","One family household: Couple family with no children",4,
,,,"One family household: Couple family with children",103,
,,,"One family household: One parent family",3,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",3,
,,,"Two family household: Couple family with children",16,
,,,"Two family household: One parent family",4,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,,"Seven persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",11,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",6,
,,,"Two family household: One parent family",5,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,,"Eight or more persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",6,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",4,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,"Heidelberg - Rosanna","One person","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",1381,
,,,"Group household",0,
,,"Two persons","One family household: Couple family with no children",1365,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",286,
,,,"One family household: Other family",56,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",166,
,,"Three persons","One family household: Couple family with no children",54,
,,,"One family household: Couple family with children",586,
,,,"One family household: One parent family",136,
,,,"One family household: Other family",9,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",43,
,,"Four persons","One family household: Couple family with no children",13,
,,,"One family household: Couple family with children",760,
,,,"One family household: One parent family",39,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",6,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",7,
,,,"Two family household: Other family",3,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",15,
,,"Five persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",256,
,,,"One family household: One parent family",3,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",5,
,,,"Two family household: One parent family",4,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,,"Six persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",48,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",11,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,,"Seven persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",7,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,,"Eight or more persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",3,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",7,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,"Heidelberg West","One person","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",0,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",1616,
,,,"Group household",0,
,,"Two persons","One family household: Couple family with no children",866,
,,,"One family household: Couple family with children",0,
,,,"One family household: One parent family",421,
,,,"One family household: Other family",77,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",3,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",233,
,,"Three persons","One family household: Couple family with no children",68,
,,,"One family household: Couple family with children",459,
,,,"One family household: One parent family",261,
,,,"One family household: Other family",17,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",3,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",72,
,,"Four persons","One family household: Couple family with no children",13,
,,,"One family household: Couple family with children",431,
,,,"One family household: One parent family",93,
,,,"One family household: Other family",7,
,,,"Two family household: Couple family with no children",8,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",14,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",23,
,,"Five persons","One family household: Couple family with no children",8,
,,,"One family household: Couple family with children",179,
,,,"One family household: One parent family",40,
,,,"One family household: Other family",3,
,,,"Two family household: Couple family with no children",3,
,,,"Two family household: Couple family with children",15,
,,,"Two family household: One parent family",4,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",18,
,,"Six persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",82,
,,,"One family household: One parent family",22,
,,,"One family household: Other family",5,
,,,"Two family household: Couple family with no children",4,
,,,"Two family household: Couple family with children",7,
,,,"Two family household: One parent family",5,
,,,"Two family household: Other family",3,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,,"Seven persons","One family household: Couple family with no children",6,
,,,"One family household: Couple family with children",17,
,,,"One family household: One parent family",5,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",0,
,,,"Two family household: One parent family",6,
,,,"Two family household: Other family",0,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
,,,"Three or more family household: One parent family",0,
,,,"Three or more family household: Other family",0,
,,,"Lone person household",0,
,,,"Group household",0,
,,"Eight or more persons","One family household: Couple family with no children",0,
,,,"One family household: Couple family with children",29,
,,,"One family household: One parent family",3,
,,,"One family household: Other family",0,
,,,"Two family household: Couple family with no children",0,
,,,"Two family household: Couple family with children",9,
,,,"Two family household: One parent family",0,
,,,"Two family household: Other family",3,
,,,"Three or more family household: Couple family with no children",0,
,,,"Three or more family household: Couple family with children",0,
