
"SA2, RLHP Relationship in Household, SEXP and AGE5P - Age in Five Year Groups"
"Counting: Persons, Place of Usual Residence"

,,,,"Counting","Persons, Place of Usual Residence",
,,,,"55-69 years",45,
,,,,"40-54 years",98,
,,,,"25-39 years",781,
,,,,"15-24 years",280,
,,,,"0-14 years",0,
,,"LonePerson {B}","Male","100 years and over",0,
,,,,"85-99 years",33,
,,,,"70-84 years",171,
,,,,"55-69 years",254,
,,,,"40-54 years",268,
,,,,"25-39 years",316,
,,,,"15-24 years",35,
,,,,"0-14 years",0,
,,,"Female","100 years and over",6,
,,,,"85-99 years",103,
,,,,"70-84 years",271,
,,,,"55-69 years",316,
,,,,"40-54 years",331,
,,,,"25-39 years",388,
,,,,"15-24 years",30,
,,,,"0-14 years",0,
,,"Relative {B}","Male","100 years and over",0,
,,,,"85-99 years",8,
,,,,"70-84 years",37,
,,,,"55-69 years",69,
,,,,"40-54 years",120,
,,,,"25-39 years",280,
,,,,"15-24 years",131,
,,,,"0-14 years",50,
,,,"Female","100 years and over",0,
,,,,"85-99 years",13,
,,,,"70-84 years",58,
,,,,"55-69 years",64,
,,,,"40-54 years",114,
,,,,"25-39 years",278,
,,,,"15-24 years",142,
,,,,"0-14 years",48,
,"Thornbury","Married {B}","Male","100 years and over",0,
,,,,"85-99 years",50,
,,,,"70-84 years",396,
,,,,"55-69 years",522,
,,,,"40-54 years",1031,
,,,,"25-39 years",1389,
,,,,"15-24 years",50,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",22,
,,,,"70-84 years",295,
,,,,"55-69 years",540,
,,,,"40-54 years",1062,
,,,,"25-39 years",1537,
,,,,"15-24 years",118,
,,,,"0-14 years",0,
,,"Lone parent {B}","Male","100 years and over",0,
,,,,"85-99 years",11,
,,,,"70-84 years",21,
,,,,"55-69 years",28,
,,,,"40-54 years",39,
,,,,"25-39 years",13,
,,,,"15-24 years",0,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",18,
,,,,"70-84 years",97,
,,,,"55-69 years",67,
,,,,"40-54 years",210,
,,,,"25-39 years",94,
,,,,"15-24 years",11,
,,,,"0-14 years",0,
,,"U15Child {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",0,
,,,,"0-14 years",1287,
,,,"Female","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",0,
,,,,"0-14 years",1254,
,,"Student {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",274,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",259,
,,,,"0-14 years",0,
,,"O15Child {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",23,
,,,,"40-54 years",125,
,,,,"25-39 years",211,
,,,,"15-24 years",159,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",4,
,,,,"55-69 years",3,
,,,,"40-54 years",57,
,,,,"25-39 years",167,
,,,,"15-24 years",112,
,,,,"0-14 years",0,
,,"GroupHhold {B}","Male","100 years and over",0,
,,,,"85-99 years",5,
,,,,"70-84 years",19,
,,,,"55-69 years",39,
,,,,"40-54 years",83,
,,,,"25-39 years",421,
,,,,"15-24 years",186,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",3,
,,,,"70-84 years",17,
,,,,"55-69 years",30,
,,,,"40-54 years",61,
,,,,"25-39 years",401,
,,,,"15-24 years",211,
,,,,"0-14 years",0,
,,"LonePerson {B}","Male","100 years and over",0,
,,,,"85-99 years",39,
,,,,"70-84 years",115,
,,,,"55-69 years",214,
,,,,"40-54 years",300,
,,,,"25-39 years",292,
,,,,"15-24 years",23,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",88,
,,,,"70-84 years",254,
,,,,"55-69 years",217,
,,,,"40-54 years",320,
,,,,"25-39 years",349,
,,,,"15-24 years",37,
,,,,"0-14 years",0,
,,"Relative {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",34,
,,,,"55-69 years",56,
,,,,"40-54 years",134,
,,,,"25-39 years",272,
,,,,"15-24 years",149,
,,,,"0-14 years",78,
,,,"Female","100 years and over",0,
,,,,"85-99 years",25,
,,,,"70-84 years",58,
,,,,"55-69 years",64,
,,,,"40-54 years",104,
,,,,"25-39 years",228,
,,,,"15-24 years",119,
,,,,"0-14 years",56,
,"Bundoora - East","Married {B}","Male","100 years and over",0,
,,,,"85-99 years",27,
,,,,"70-84 years",311,
,,,,"55-69 years",629,
,,,,"40-54 years",608,
,,,,"25-39 years",501,
,,,,"15-24 years",24,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",17,
,,,,"70-84 years",230,
,,,,"55-69 years",649,
,,,,"40-54 years",615,
,,,,"25-39 years",569,
,,,,"15-24 years",42,
,,,,"0-14 years",0,
,,"Lone parent {B}","Male","100 years and over",0,
,,,,"85-99 years",5,
,,,,"70-84 years",6,
,,,,"55-69 years",21,
,,,,"40-54 years",23,
,,,,"25-39 years",10,
,,,,"15-24 years",0,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",13,
,,,,"70-84 years",27,
,,,,"55-69 years",61,
,,,,"40-54 years",140,
,,,,"25-39 years",67,
,,,,"15-24 years",6,
,,,,"0-14 years",0,
,,"U15Child {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",0,
,,,,"0-14 years",829,
,,,"Female","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",0,
,,,,"0-14 years",709,
,,"Student {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",238,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",256,
,,,,"0-14 years",0,
,,"O15Child {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",11,
,,,,"40-54 years",68,
,,,,"25-39 years",189,
,,,,"15-24 years",166,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",11,
,,,,"40-54 years",20,
,,,,"25-39 years",107,
,,,,"15-24 years",111,
,,,,"0-14 years",0,
,,"GroupHhold {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",3,
,,,,"55-69 years",17,
,,,,"40-54 years",22,
,,,,"25-39 years",113,
,,,,"15-24 years",155,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",3,
,,,,"55-69 years",12,
,,,,"40-54 years",25,
,,,,"25-39 years",64,
,,,,"15-24 years",163,
,,,,"0-14 years",0,
,,"LonePerson {B}","Male","100 years and over",0,
,,,,"85-99 years",14,
,,,,"70-84 years",54,
,,,,"55-69 years",60,
,,,,"40-54 years",75,
,,,,"25-39 years",59,
,,,,"15-24 years",12,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",39,
,,,,"70-84 years",136,
,,,,"55-69 years",113,
,,,,"40-54 years",43,
,,,,"25-39 years",39,
,,,,"15-24 years",10,
,,,,"0-14 years",0,
,,"Relative {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",19,
,,,,"55-69 years",39,
,,,,"40-54 years",44,
,,,,"25-39 years",67,
,,,,"15-24 years",66,
,,,,"0-14 years",11,
,,,"Female","100 years and over",0,
,,,,"85-99 years",11,
,,,,"70-84 years",34,
,,,,"55-69 years",46,
,,,,"40-54 years",23,
,,,,"25-39 years",42,
,,,,"15-24 years",86,
,,,,"0-14 years",10,
,"Greensborough","Married {B}","Male","100 years and over",0,
,,,,"85-99 years",48,
,,,,"70-84 years",446,
,,,,"55-69 years",1408,
,,,,"40-54 years",1564,
,,,,"25-39 years",1176,
,,,,"15-24 years",38,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",25,
,,,,"70-84 years",342,
,,,,"55-69 years",1284,
,,,,"40-54 years",1685,
,,,,"25-39 years",1349,
,,,,"15-24 years",72,
,,,,"0-14 years",0,
,,"Lone parent {B}","Male","100 years and over",0,
,,,,"85-99 years",4,
,,,,"70-84 years",12,
,,,,"55-69 years",39,
,,,,"40-54 years",49,
,,,,"25-39 years",11,
,,,,"15-24 years",4,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",16,
,,,,"70-84 years",51,
,,,,"55-69 years",143,
,,,,"40-54 years",356,
,,,,"25-39 years",131,
,,,,"15-24 years",11,
,,,,"0-14 years",0,
,,"U15Child {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",0,
,,,,"0-14 years",1886,
,,,"Female","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",0,
,,,,"0-14 years",1686,
,,"Student {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",611,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",726,
,,,,"0-14 years",0,
,,"O15Child {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",14,
,,,,"40-54 years",72,
,,,,"25-39 years",352,
,,,,"15-24 years",521,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",10,
,,,,"40-54 years",41,
,,,,"25-39 years",251,
,,,,"15-24 years",352,
,,,,"0-14 years",0,
,,"GroupHhold {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",10,
,,,,"55-69 years",26,
,,,,"40-54 years",26,
,,,,"25-39 years",66,
,,,,"15-24 years",39,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",5,
,,,,"70-84 years",10,
,,,,"55-69 years",24,
,,,,"40-54 years",25,
,,,,"25-39 years",29,
,,,,"15-24 years",29,
,,,,"0-14 years",0,
,,"LonePerson {B}","Male","100 years and over",0,
,,,,"85-99 years",25,
,,,,"70-84 years",76,
,,,,"55-69 years",145,
,,,,"40-54 years",141,
,,,,"25-39 years",124,
,,,,"15-24 years",15,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",86,
,,,,"70-84 years",284,
,,,,"55-69 years",260,
,,,,"40-54 years",134,
,,,,"25-39 years",111,
,,,,"15-24 years",21,
,,,,"0-14 years",0,
,,"Relative {B}","Male","100 years and over",0,
,,,,"85-99 years",10,
,,,,"70-84 years",21,
,,,,"55-69 years",47,
,,,,"40-54 years",61,
,,,,"25-39 years",108,
,,,,"15-24 years",101,
,,,,"0-14 years",27,
,,,"Female","100 years and over",0,
,,,,"85-99 years",25,
,,,,"70-84 years",43,
,,,,"55-69 years",59,
,,,,"40-54 years",60,
,,,,"25-39 years",87,
,,,,"15-24 years",79,
,,,,"0-14 years",32,
,"Heidelberg - Rosanna","Married {B}","Male","100 years and over",0,
,,,,"85-99 years",99,
,,,,"70-84 years",474,
,,,,"55-69 years",645,
,,,,"40-54 years",953,
,,,,"25-39 years",872,
,,,,"15-24 years",39,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",48,
,,,,"70-84 years",407,
,,,,"55-69 years",639,
,,,,"40-54 years",979,
,,,,"25-39 years",965,
,,,,"15-24 years",70,
,,,,"0-14 years",0,
,,"Lone parent {B}","Male","100 years and over",0,
,,,,"85-99 years",3,
,,,,"70-84 years",7,
,,,,"55-69 years",29,
,,,,"40-54 years",36,
,,,,"25-39 years",9,
,,,,"15-24 years",0,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",11,
,,,,"70-84 years",62,
,,,,"55-69 years",74,
,,,,"40-54 years",183,
,,,,"25-39 years",52,
,,,,"15-24 years",16,
,,,,"0-14 years",0,
,,"U15Child {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",0,
,,,,"0-14 years",1116,
,,,"Female","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",0,
,,,,"0-14 years",1099,
,,"Student {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",372,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",329,
,,,,"0-14 years",0,
,,"O15Child {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",16,
,,,,"40-54 years",79,
,,,,"25-39 years",152,
,,,,"15-24 years",162,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",10,
,,,,"40-54 years",33,
,,,,"25-39 years",100,
,,,,"15-24 years",132,
,,,,"0-14 years",0,
,,"GroupHhold {B}","Male","100 years and over",0,
,,,,"85-99 years",5,
,,,,"70-84 years",6,
,,,,"55-69 years",14,
,,,,"40-54 years",40,
,,,,"25-39 years",122,
,,,,"15-24 years",84,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",3,
,,,,"70-84 years",11,
,,,,"55-69 years",21,
,,,,"40-54 years",18,
,,,,"25-39 years",100,
,,,,"15-24 years",69,
,,,,"0-14 years",0,
,,"LonePerson {B}","Male","100 years and over",0,
,,,,"85-99 years",48,
,,,,"70-84 years",87,
,,,,"55-69 years",127,
,,,,"40-54 years",131,
,,,,"25-39 years",112,
,,,,"15-24 years",17,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",116,
,,,,"70-84 years",273,
,,,,"55-69 years",207,
,,,,"40-54 years",126,
,,,,"25-39 years",119,
,,,,"15-24 years",17,
,,,,"0-14 years",0,
,,"Relative {B}","Male","100 years and over",0,
,,,,"85-99 years",6,
,,,,"70-84 years",20,
,,,,"55-69 years",40,
,,,,"40-54 years",39,
,,,,"25-39 years",121,
,,,,"15-24 years",70,
,,,,"0-14 years",38,
,,,"Female","100 years and over",0,
,,,,"85-99 years",19,
,,,,"70-84 years",29,
,,,,"55-69 years",41,
,,,,"40-54 years",37,
,,,,"25-39 years",103,
,,,,"15-24 years",68,
,,,,"0-14 years",24,
,"Heidelberg West","Married {B}","Male","100 years and over",0,
,,,,"85-99 years",53,
,,,,"70-84 years",220,
,,,,"55-69 years",417,
,,,,"40-54 years",653,
,,,,"25-39 years",832,
,,,,"15-24 years",42,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",18,
,,,,"70-84 years",197,
,,,,"55-69 years",366,
,,,,"40-54 years",625,
,,,,"25-39 years",910,
,,,,"15-24 years",84,
,,,,"0-14 years",0,
,,"Lone parent {B}","Male","100 years and over",0,
,,,,"85-99 years",6,
,,,,"70-84 years",14,
,,,,"55-69 years",42,
,,,,"40-54 years",65,
,,,,"25-39 years",24,
,,,,"15-24 years",7,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",37,
,,,,"70-84 years",99,
,,,,"55-69 years",110,
,,,,"40-54 years",282,
,,,,"25-39 years",187,
,,,,"15-24 years",29,
,,,,"0-14 years",0,
,,"U15Child {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",0,
,,,,"0-14 years",1110,
,,,"Female","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",0,
,,,,"0-14 years",1109,
,,"Student {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",279,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
,,,,"25-39 years",0,
,,,,"15-24 years",272,
,,,,"0-14 years",0,
,,"O15Child {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",3,
,,,,"55-69 years",37,
,,,,"40-54 years",113,
,,,,"25-39 years",194,
,,,,"15-24 years",225,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",22,
,,,,"40-54 years",53,
,,,,"25-39 years",134,
,,,,"15-24 years",152,
,,,,"0-14 years",0,
,,"GroupHhold {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",8,
,,,,"55-69 years",48,
,,,,"40-54 years",80,
,,,,"25-39 years",248,
,,,,"15-24 years",140,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",3,
,,,,"70-84 years",9,
,,,,"55-69 years",33,
,,,,"40-54 years",43,
,,,,"25-39 years",123,
,,,,"15-24 years",117,
,,,,"0-14 years",0,
,,"LonePerson {B}","Male","100 years and over",0,
,,,,"85-99 years",12,
,,,,"70-84 years",107,
,,,,"55-69 years",195,
,,,,"40-54 years",237,
,,,,"25-39 years",159,
,,,,"15-24 years",22,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",93,
,,,,"70-84 years",222,
,,,,"55-69 years",259,
,,,,"40-54 years",168,
,,,,"25-39 years",117,
,,,,"15-24 years",30,
,,,,"0-14 years",0,
,,"Relative {B}","Male","100 years and over",0,
,,,,"85-99 years",4,
,,,,"70-84 years",38,
,,,,"55-69 years",78,
,,,,"40-54 years",97,
,,,,"25-39 years",215,
,,,,"15-24 years",171,
,,,,"0-14 years",43,
,,,"Female","100 years and over",0,
,,,,"85-99 years",16,
,,,,"70-84 years",66,
,,,,"55-69 years",85,
,,,,"40-54 years",82,
,,,,"25-39 years",135,
,,,,"15-24 years",134,
,,,,"0-14 years",41,
,"Ivanhoe","Married {B}","Male","100 years and over",0,
,,,,"85-99 years",29,
,,,,"70-84 years",225,
,,,,"55-69 years",606,
,,,,"40-54 years",888,
,,,,"25-39 years",596,
,,,,"15-24 years",23,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",19,
,,,,"70-84 years",163,
,,,,"55-69 years",532,
,,,,"40-54 years",970,
,,,,"25-39 years",679,
,,,,"15-24 years",39,
,,,,"0-14 years",0,
,,"Lone parent {B}","Male","100 years and over",0,
,,,,"85-99 years",5,
,,,,"70-84 years",11,
,,,,"55-69 years",18,
,,,,"40-54 years",28,
,,,,"25-39 years",8,
,,,,"15-24 years",0,
,,,,"0-14 years",0,
,,,"Female","100 years and over",0,
,,,,"85-99 years",18,
,,,,"70-84 years",44,
,,,,"55-69 years",62,
,,,,"40-54 years",137,
,,,,"25-39 years",47,
,,,,"15-24 years",4,
,,,,"0-14 years",0,
,,"U15Child {B}","Male","100 years and over",0,
,,,,"85-99 years",0,
,,,,"70-84 years",0,
,,,,"55-69 years",0,
,,,,"40-54 years",0,
