Australian Bureau of Statistics

"2011 Census - Counting Dwellings, Place of Enumeration"
"SA2, NPRD Number of Persons Usually Resident in Dwelling and HCFMD Family Household Composition (Dwelling)"
"Counting: Dwellings, Location on Census Night"

Filters:
"Default Summation","Dwellings, Location on Census Night"


"SA2","NPRD Number of Persons Usually Resident in Dwelling","HCFMD Family Household Composition (Dwelling)",
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",361,
,"Three persons","One family household: Couple family with no children",101,
,,"One family household: Couple family with children",705,
,,"One family household: One parent family",165,
,,"One family household: Other family",21,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",159,
,"Four persons","One family household: Couple family with no children",18,
,,"One family household: Couple family with children",792,
,,"One family household: One parent family",57,
,,"One family household: Other family",6,
,,"Two family household: Couple family with no children",12,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",12,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",68,
,"Five persons","One family household: Couple family with no children",3,
,,"One family household: Couple family with children",236,
,,"One family household: One parent family",7,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",3,
,,"Two family household: Couple family with children",4,
,,"Two family household: One parent family",5,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",15,
,"Six persons","One family household: Couple family with no children",3,
,,"One family household: Couple family with children",56,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",13,
,,"Two family household: One parent family",4,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",3,
,"Seven persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",3,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",5,
,,"Two family household: One parent family",3,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
,"Eight or more persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",4,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",3,
"Bundoora - East","One person","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",651,
,,"Group household",0,
,"Two persons","One family household: Couple family with no children",872,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",163,
,,"One family household: Other family",37,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",76,
,"Three persons","One family household: Couple family with no children",21,
,,"One family household: Couple family with children",382,
,,"One family household: One parent family",121,
,,"One family household: Other family",12,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",61,
,"Four persons","One family household: Couple family with no children",10,
,,"One family household: Couple family with children",505,
,,"One family household: One parent family",43,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",11,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",4,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",27,
,"Five persons","One family household: Couple family with no children",4,
,,"One family household: Couple family with children",202,
,,"One family household: One parent family",17,
,,"One family household: Other family",6,
,,"Two family household: Couple family with no children",3,
,,"Two family household: Couple family with children",4,
,,"Two family household: One parent family",5,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",11,
,"Six persons","One family household: Couple family with no children",4,
,,"One family household: Couple family with children",44,
,,"One family household: One parent family",5,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",18,
,,"Two family household: One parent family",4,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",6,
,"Seven persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",10,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
,"Eight or more persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",3,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
"Heidelberg - Rosanna","One person","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",1381,
,,"Group household",0,
,"Two persons","One family household: Couple family with no children",1366,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",287,
,,"One family household: Other family",58,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",162,
,"Three persons","One family household: Couple family with no children",55,
,,"One family household: Couple family with children",587,
,,"One family household: One parent family",140,
,,"One family household: Other family",9,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",42,
,"Four persons","One family household: Couple family with no children",13,
,,"One family household: Couple family with children",761,
,,"One family household: One parent family",39,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",6,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",7,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",14,
,"Five persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",257,
,,"One family household: One parent family",3,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",7,
,,"Two family household: One parent family",3,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
,"Six persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",47,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",9,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
,"Seven persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",5,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
,"Eight or more persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",3,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",4,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
"Greensborough","One person","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",1423,
,,"Group household",0,
,"Two persons","One family household: Couple family with no children",1756,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",381,
,,"One family household: Other family",59,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",106,
,"Three persons","One family household: Couple family with no children",61,
,,"One family household: Couple family with children",898,
,,"One family household: One parent family",278,
,,"One family household: Other family",14,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",21,
,"Four persons","One family household: Couple family with no children",4,
,,"One family household: Couple family with children",1331,
,,"One family household: One parent family",89,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",23,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",11,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",5,
,"Five persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",478,
,,"One family household: One parent family",35,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",15,
,,"Two family household: One parent family",9,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",5,
,"Six persons","One family household: Couple family with no children",3,
,,"One family household: Couple family with children",103,
,,"One family household: One parent family",3,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",3,
,,"Two family household: Couple family with children",18,
,,"Two family household: One parent family",3,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
,"Seven persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",11,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",8,
,,"Two family household: One parent family",3,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
,"Eight or more persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",5,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",3,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
"Heidelberg West","One person","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",1615,
,,"Group household",0,
,"Two persons","One family household: Couple family with no children",868,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",422,
,,"One family household: Other family",81,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",233,
,"Three persons","One family household: Couple family with no children",69,
,,"One family household: Couple family with children",459,
,,"One family household: One parent family",263,
,,"One family household: Other family",18,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",72,
,"Four persons","One family household: Couple family with no children",14,
,,"One family household: Couple family with children",432,
,,"One family household: One parent family",94,
,,"One family household: Other family",8,
,,"Two family household: Couple family with no children",8,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",16,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",23,
,"Five persons","One family household: Couple family with no children",8,
,,"One family household: Couple family with children",179,
,,"One family household: One parent family",43,
,,"One family household: Other family",4,
,,"Two family household: Couple family with no children",3,
,,"Two family household: Couple family with children",16,
,,"Two family household: One parent family",6,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",17,
,"Six persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",82,
,,"One family household: One parent family",24,
,,"One family household: Other family",5,
,,"Two family household: Couple family with no children",3,
,,"Two family household: Couple family with children",8,
,,"Two family household: One parent family",5,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",3,
,"Seven persons","One family household: Couple family with no children",3,
,,"One family household: Couple family with children",17,
,,"One family household: One parent family",3,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",3,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
,"Eight or more persons","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",29,
,,"One family household: One parent family",3,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",9,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",0,
,,"Group household",0,
"Ivanhoe","One person","One family household: Couple family with no children",0,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",0,
,,"One family household: Other family",0,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
,,"Lone person household",1192,
,,"Group household",0,
,"Two persons","One family household: Couple family with no children",888,
,,"One family household: Couple family with children",0,
,,"One family household: One parent family",189,
,,"One family household: Other family",57,
,,"Two family household: Couple family with no children",0,
,,"Two family household: Couple family with children",0,
,,"Two family household: One parent family",0,
,,"Two family household: Other family",0,
,,"Three or more family household: Couple family with no children",0,
,,"Three or more family household: One parent family",0,
,,"Three or more family household: Couple family with children",0,
,,"Three or more family household: Other family",0,
